cv1,cv2,cv3,cv4,cv5
0,0,1,0,0
1,1,2,1,2
2,2,4,3,3
3,3,5,4,4
5,4,7,5,5
6,6,9,6,6
7,7,10,7,8
8,8,12,8,10
9,9,13,9,11
10,11,14,10,12
11,12,15,11,14
12,13,16,13,15
13,15,17,14,16
14,16,18,15,17
17,18,19,16,18
19,20,20,17,19
20,21,21,18,20
22,22,23,19,21
23,23,24,21,22
24,24,25,22,25
26,25,26,23,26
27,26,27,24,27
28,27,29,25,28
29,28,32,28,30
30,29,34,29,31
31,30,35,30,32
32,31,36,31,33
33,32,37,33,35
34,33,40,34,36
35,34,41,36,37
36,35,43,38,38
37,37,45,39,39
38,38,46,40,40
39,39,47,41,41
42,40,48,42,42
43,41,49,44,43
44,42,50,45,44
45,43,51,46,46
46,44,52,47,48
47,45,55,48,51
48,47,57,49,52
49,49,58,50,53
50,50,59,51,54
53,51,62,52,55
54,52,63,53,56
55,53,64,54,58
56,54,65,56,59
57,55,66,57,60
58,56,67,59,61
59,57,68,60,62
60,58,69,61,63
61,60,70,63,64
62,61,72,65,66
63,62,73,66,67
64,64,75,67,68
65,65,77,68,69
67,66,78,69,71
68,70,79,70,72
69,71,80,71,73
70,72,81,72,74
71,73,84,74,76
73,74,85,75,78
74,75,86,76,80
75,76,88,77,82
76,77,89,78,83
77,79,90,79,84
78,80,91,81,85
79,81,92,82,86
80,82,93,83,87
81,83,94,84,88
82,85,95,86,89
83,86,96,87,90
84,87,97,90,91
85,88,98,92,92
87,89,100,93,94
88,90,101,94,95
89,91,102,95,96
91,93,103,96,97
92,95,104,97,98
93,96,105,98,99
94,97,106,99,100
98,99,107,101,101
99,100,108,103,102
100,101,109,105,103
102,102,110,106,104
104,103,111,107,106
105,104,113,109,108
106,105,114,111,109
107,107,115,112,110
108,108,116,114,112
110,109,118,115,113
111,110,119,116,114
112,111,120,117,115
113,112,122,118,116
116,113,123,119,117
117,114,124,120,118
119,115,127,121,119
120,117,128,122,120
121,118,129,123,121
122,121,132,124,122
125,123,133,125,123
126,124,134,126,124
127,125,135,127,125
129,126,137,128,126
130,127,139,130,128
131,128,140,131,129
133,129,141,132,130
134,130,142,133,131
135,131,144,134,132
136,132,145,135,136
137,133,146,136,137
138,134,147,138,138
139,135,148,139,142
140,136,149,140,143
141,137,150,141,145
142,138,151,142,146
143,139,152,143,147
144,140,154,144,148
145,141,155,147,150
146,143,156,148,153
148,144,157,149,154
149,145,160,150,155
150,146,161,151,158
151,147,162,152,159
152,149,165,153,160
153,151,166,154,161
155,152,167,155,162
156,153,168,156,163
157,154,169,157,164
158,156,170,158,165
159,157,171,159,166
161,158,172,160,167
162,159,173,161,168
163,160,174,162,169
164,163,175,163,170
165,164,177,164,171
167,166,178,165,172
170,167,179,166,173
171,168,181,168,174
172,169,182,169,175
173,170,183,172,176
174,171,184,174,177
175,173,185,175,179
176,176,186,176,180
178,177,187,177,181
180,178,188,178,182
183,179,189,179,183
184,180,190,180,185
186,181,193,181,186
187,182,196,182,188
189,184,198,183,190
191,185,200,184,191
192,186,201,185,192
193,187,202,187,193
194,188,204,188,194
195,189,205,189,195
197,190,206,190,196
198,191,207,191,197
199,192,208,192,199
200,193,209,194,200
201,194,210,195,201
203,195,211,196,202
204,196,213,197,203
205,197,214,198,205
206,198,215,199,206
207,199,216,201,207
208,200,217,202,209
209,202,218,203,210
210,203,219,204,211
211,204,220,205,212
212,208,222,206,213
213,212,223,207,214
216,214,224,208,215
217,215,226,209,217
218,216,227,210,219
221,218,228,211,220
222,219,229,212,221
223,220,230,213,222
225,221,231,214,224
227,222,233,215,225
228,223,234,216,226
229,224,235,217,227
230,225,236,218,228
231,226,239,219,229
232,229,240,220,231
233,230,244,221,232
234,231,245,223,233
235,232,246,224,234
236,236,248,225,235
237,237,249,226,236
238,238,250,227,237
239,239,251,228,238
240,240,252,230,239
241,241,255,232,240
242,242,256,233,241
243,243,257,234,242
244,244,258,235,243
245,245,259,237,244
247,246,261,238,246
250,247,262,241,247
251,248,263,242,248
252,249,264,243,249
253,250,266,245,251
254,252,267,246,252
255,253,268,247,253
257,254,269,248,254
258,256,270,249,255
259,258,271,250,256
260,260,272,251,257
264,261,273,253,259
