cv1,cv2,cv3,cv4,cv5
0,0,0,1,0
1,1,2,3,1
2,2,3,5,2
3,4,4,6,3
4,5,5,7,4
5,7,6,10,6
6,8,7,11,7
8,9,8,12,8
9,10,9,13,9
10,13,10,14,11
11,14,11,16,12
12,15,12,17,13
14,16,13,18,14
15,19,15,19,15
16,21,16,20,17
17,23,17,21,18
18,25,18,22,19
20,28,19,23,20
21,29,20,24,22
22,30,21,25,23
23,31,22,26,24
24,32,24,27,25
26,33,25,28,26
27,34,26,30,27
28,35,27,31,28
29,37,29,32,29
32,40,30,33,30
33,42,31,34,31
35,43,34,36,32
36,45,35,37,33
37,46,36,38,34
38,47,38,39,35
39,48,39,40,36
40,50,41,41,37
41,51,42,43,38
42,52,44,44,39
43,53,45,45,40
44,54,47,46,41
45,57,48,47,42
46,58,49,48,43
47,59,50,49,44
49,60,51,51,46
50,61,52,52,48
51,62,53,54,49
53,63,55,55,50
54,64,56,56,52
55,66,57,57,53
56,67,59,58,54
58,70,60,59,55
61,71,62,60,56
62,72,63,61,57
64,73,64,62,58
65,74,65,63,59
68,76,66,65,60
69,77,67,66,61
70,78,68,67,63
71,79,69,68,64
73,80,70,69,65
74,81,71,70,66
75,82,72,71,67
76,84,75,72,68
77,87,78,73,69
78,88,79,74,72
81,89,80,75,73
82,90,81,76,74
83,91,83,77,75
84,92,85,79,76
85,93,86,80,77
86,94,87,82,78
88,95,89,83,79
89,96,90,84,80
91,98,91,85,81
92,99,92,86,82
93,101,93,87,83
94,102,94,88,84
96,103,95,90,85
97,104,96,92,86
98,105,97,93,87
99,106,99,95,88
100,107,100,96,89
102,108,101,97,90
103,111,102,98,91
104,112,103,99,94
105,115,104,100,95
106,116,105,101,97
108,117,106,102,98
109,118,107,105,100
110,121,108,106,101
111,122,109,107,103
112,123,110,109,104
113,124,111,110,107
114,125,113,112,108
115,126,114,113,109
116,127,115,114,110
117,128,116,115,111
118,129,119,117,112
119,130,120,118,113
120,131,122,119,114
121,132,124,120,116
123,133,125,121,117
126,134,127,122,118
129,135,128,123,119
130,136,129,124,120
131,137,130,125,121
133,138,131,126,122
134,139,132,127,123
135,140,133,128,124
136,141,134,130,125
137,142,135,131,126
139,143,136,132,127
140,144,138,134,128
141,145,139,136,129
142,146,140,137,132
144,147,141,138,133
145,148,142,140,135
146,149,143,141,137
148,150,144,143,138
149,151,145,146,139
150,152,147,147,142
154,153,148,148,143
155,154,149,150,144
157,156,150,151,145
158,157,151,152,146
159,158,152,153,147
161,160,153,154,149
162,163,155,155,151
163,164,156,156,152
164,165,158,157,153
165,166,159,159,154
166,167,160,160,155
168,169,161,161,156
169,170,162,162,157
170,171,164,163,158
171,172,166,164,159
172,173,167,165,160
173,175,168,166,161
174,176,169,167,162
175,177,171,168,163
176,178,172,169,165
177,179,173,170,167
178,180,174,171,168
180,181,177,172,170
181,182,179,174,173
182,183,180,175,174
183,184,181,176,175
184,185,182,178,176
185,187,183,179,177
186,188,184,181,178
188,189,185,183,179
190,190,186,185,180
192,191,187,186,182
194,192,188,187,184
195,193,189,189,186
196,195,190,191,187
197,196,191,192,188
199,197,192,193,189
200,198,193,194,190
201,200,194,195,191
202,201,196,198,193
203,202,197,199,194
204,204,198,200,195
205,206,199,203,196
206,209,201,205,197
207,212,202,206,198
208,213,203,207,199
210,214,204,208,200
211,215,205,209,201
213,216,206,210,202
215,217,207,211,203
216,218,208,212,204
217,219,209,213,205
219,220,210,214,207
220,221,211,215,208
221,222,212,217,209
222,223,214,218,210
223,224,215,220,211
225,225,216,221,212
226,228,217,222,213
227,229,218,223,214
228,231,219,224,216
229,234,220,225,218
230,235,221,226,219
231,236,223,227,222
232,237,224,228,224
233,240,226,229,225
234,243,227,230,226
235,244,228,231,227
236,245,230,232,229
