Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class
-0.575179,-0.432763,-1.064838,-0.642383,-0.608183,-0.726599,-0.63865,1
-1.450045,-1.441081,-1.184418,-1.231151,-1.171896,-1.205783,-1.213668,0
0.049725,0.121812,-0.108206,-0.309734,-0.463873,-0.356942,-0.207386,0
-0.70016,-0.432763,-0.347364,-0.638301,-0.64877,-0.607943,-0.602711,1
-1.616686,-1.541913,-1.423576,-1.272987,-1.216993,-1.287929,-1.321484,0
-0.825141,-1.08817,-1.064838,-0.974011,-0.984743,-0.941091,-0.854282,0
0.049725,0.071396,0.250532,-0.104634,-0.551812,-0.356942,0.655142,1
0.174706,0.172228,-0.347364,-0.124022,-0.294759,-0.283923,0.152001,1
-0.408538,-0.382347,-0.347364,-0.651566,-0.644261,-0.621634,-0.530834,0
0.008065,-0.281515,0.011373,-0.45361,-0.745729,-0.302178,-0.207386,1
-0.783481,-0.584011,-0.706101,-0.862788,-0.865236,-0.909145,-0.746466,1
-0.283557,-0.281515,-0.108206,-0.586261,-0.639751,-0.781362,-0.351141,1
0.091385,-0.029435,0.130953,-0.294428,-0.391717,-0.087686,-0.243325,1
-0.450198,-0.533595,-0.945259,-0.720953,-0.865236,-0.913709,-0.387079,1
-0.200237,-0.079851,-0.227785,-0.335244,-0.457108,-0.434524,0.008246,1
-1.408385,-1.289833,-1.303997,-1.0985,-1.192189,-1.287929,-0.89022,0
-0.70016,-0.684842,-0.945259,-0.770953,-0.772787,-0.854381,-0.782404,1
-1.325064,-1.138586,-1.423576,-1.169927,-1.18317,-1.255983,-0.998036,0
-0.61684,-0.886506,-0.945259,-0.913808,-0.851707,-0.963909,-0.89022,0
-1.408385,-1.289833,-1.064838,-1.190335,-1.189935,-1.082564,-1.17773,1
-1.200083,-1.340249,-0.945259,-1.231151,-1.259835,-1.201219,-1.105852,1
0.341347,0.323476,0.370111,0.225974,0.307286,0.304789,0.223878,1
0.299687,0.323476,0.011373,0.203525,0.10435,0.067479,0.43951,1
0.466328,0.424308,1.087585,0.340259,0.158466,0.834174,0.331694,1
0.549648,0.373892,0.011373,0.208627,-0.015157,0.487335,0.295755,1
0.424667,0.172228,0.011373,0.070874,0.151702,0.423444,-0.279263,1
0.466328,0.625971,0.609269,0.34434,0.153957,0.560354,0.655142,1
1.299533,1.533458,0.609269,1.653508,1.110013,0.911756,1.589547,1
1.174552,1.180547,0.609269,1.03923,0.866489,1.61456,0.798896,1
1.299533,1.432626,0.848427,1.977994,2.054796,1.934016,1.553608,1
1.507835,1.432626,1.446323,1.797384,1.23403,2.107435,1.805179,1
-0.491859,-0.533595,-0.82568,-0.71279,-0.596909,-0.51667,-0.818343,0
0.133045,0.676387,0.370111,0.792294,0.771786,1.158194,0.727019,1
-0.61684,-0.533595,-0.82568,-0.625036,-0.551812,-0.585125,-0.674588,0
0.424667,0.373892,-0.108206,0.110669,0.097585,0.208952,0.152001,1
-1.408385,-1.189002,-1.184418,-1.02299,-1.016311,-0.863508,-1.069914,0
-0.61684,-0.735258,-0.82568,-0.824013,-0.779552,-0.817872,-0.89022,0
0.216366,0.172228,-0.108206,0.046385,0.011901,0.140497,0.223878,1
-2.366571,-2.348568,-2.260629,-1.548494,-1.478556,-1.433966,-1.573055,0
-2.658193,-2.600647,-2.021471,-1.605637,-1.505614,-1.511548,-1.630557,0
-2.616533,-2.600647,-2.14105,-1.605637,-1.541691,-1.534367,-1.608993,0
-1.116763,-1.138586,-1.064838,-1.277069,-1.226012,-1.237729,-1.17773,0
-0.450198,-0.382347,-0.466943,-0.508711,-0.299269,0.423444,-0.710527,0
-0.533519,-0.331931,-0.466943,-0.751565,-0.820139,-0.644453,-0.63865,0
-1.658347,-1.642745,-1.662734,-1.362782,-1.280129,-1.415711,-1.393362,0
0.008065,0.172228,0.48969,0.013732,-0.021922,0.300225,0.044185,0
-0.033596,0.02098,-0.466943,-0.477079,-0.545047,-0.635325,-0.351141,0
-1.033442,-0.886506,-1.064838,-1.07299,-1.018566,-1.100819,-0.998036,0
-0.325218,-0.483179,-0.227785,-0.586261,-0.450344,-0.772235,-0.566773,1
-0.450198,-0.483179,-0.466943,-0.716872,-0.671319,-0.685526,-0.63865,1
-0.991782,-0.987338,-0.945259,-0.905645,-0.840433,-0.813308,-0.926159,0
-0.200237,-0.079851,0.011373,-0.341366,-0.463873,-0.046613,-0.135509,0
-0.6585,-0.584011,-0.466943,-0.788299,-0.754748,-0.776799,-0.746466,0
-0.450198,-0.231099,-0.108206,-0.488303,-0.373679,-0.553179,-0.494895,0
-2.324911,-2.19732,-1.901892,-1.515842,-1.431204,-1.520676,-1.537116,0
-0.158577,-0.079851,-0.347364,-0.501568,-0.511225,-0.461906,-0.458957,0
-0.158577,-0.029435,-0.706101,-0.415855,-0.245152,-0.188086,-0.458957,0
0.049725,0.02098,-0.227785,-0.269938,-0.258681,0.117679,-0.279263,1
-0.825141,-0.83609,-1.064838,-0.91891,-0.851707,-0.918272,-0.998036,0
-0.033596,-0.079851,-0.466943,-0.507691,-0.565341,-0.448215,-0.387079,0
-0.408538,-0.533595,-0.466943,-0.71177,-0.565341,-0.722035,-0.746466,0
0.341347,0.323476,0.48969,0.175975,-0.024177,0.117679,0.583264,1
0.591308,0.878051,1.087585,0.931068,0.255425,0.396062,1.76924,1
-0.408538,-0.180683,-0.466943,-0.60871,-0.65779,-0.594252,-0.494895,1
0.258026,0.172228,-0.227785,-0.127083,-0.43005,-0.115068,0.259816,1
-1.033442,-0.886506,-0.706101,-0.97095,-0.986998,-0.749417,-0.998036,0
0.591308,0.676387,0.728848,0.853518,0.544046,0.40519,1.337976,1
0.383007,0.726803,0.848427,0.726989,0.516987,0.733773,1.014528,1
0.674629,0.424308,1.326744,0.54944,0.548555,0.993902,0.547326,1
0.632969,0.676387,0.250532,0.364748,0.374932,0.36868,0.295755,1
0.591308,0.676387,0.011373,0.235158,0.014156,0.076606,0.547326,0
0.632969,0.625971,0.250532,0.19026,0.016411,0.122242,0.475448,1
0.258026,0.172228,0.011373,-0.083206,-0.348875,-0.19265,0.331694,1
0.424667,0.373892,0.011373,0.229035,0.113369,0.651627,0.331694,0
0.79961,1.029299,0.848427,1.604529,0.681592,0.103988,3.134909,1
-0.033596,0.172228,0.609269,0.325973,0.165231,0.40519,0.583264,1
0.591308,0.676387,0.48969,0.997394,0.219347,0.487335,2.452074,1
0.466328,0.424308,0.011373,0.375972,0.093076,0.323044,0.870774,1
0.383007,0.575556,0.968006,0.951476,-0.091822,0.382371,1.445792,1
0.84127,0.575556,0.011373,0.747397,0.55532,0.222643,1.158283,1
0.299687,0.323476,0.48969,0.072915,-0.130155,0.245461,0.152001,1
-0.533519,-0.533595,-0.227785,-0.63626,-0.626222,-0.607943,-0.530834,0
0.424667,0.424308,0.48969,0.303524,-0.20682,0.459953,0.655142,1
0.341347,0.172228,-0.108206,-0.035247,-0.082803,-0.119632,0.116062,1
0.258026,0.323476,0.250532,-0.150552,-0.236133,-0.256541,0.152001,1
0.591308,0.575556,0.848427,0.584133,0.190034,0.669882,1.086406,1
0.84127,0.878051,0.609269,0.88413,0.665808,1.254031,1.086406,1
1.174552,1.281378,1.326744,1.586162,0.974722,1.892943,1.733301,1
0.091385,0.27306,0.250532,-0.211776,-0.407501,-0.384324,0.080123,0
-0.450198,-0.331931,-0.227785,-0.624016,-0.655535,-0.443652,-0.674588,0
-0.450198,-0.382347,-0.227785,-0.625036,-0.714161,-0.434524,-0.530834,0
-0.408538,-0.331931,-0.347364,-0.510752,-0.369169,-0.872636,-0.602711,1
-1.366725,-1.441081,-1.064838,-1.218906,-1.147092,-1.228601,-1.17773,0
0.216366,0.27306,0.130953,0.029038,-0.141429,0.099424,0.116062,1
0.674629,0.625971,0.48969,0.70352,0.622965,0.546663,0.762958,1
-0.033596,0.02098,0.370111,-0.207694,-0.308288,0.026406,-0.027693,1
0.174706,0.222644,0.609269,-0.054635,-0.297014,0.021842,0.295755,1
-0.200237,-0.079851,-0.347364,-0.329121,-0.443579,-0.448215,-0.135509,1
-0.116916,-0.180683,-0.108206,-0.398508,-0.57887,-0.014667,-0.279263,0
-0.74182,-0.130267,-0.82568,-0.949522,-1.007292,-0.753981,-0.782404,0
-0.241897,-0.130267,-0.347364,-0.586261,-0.549557,-0.420833,-0.602711,0
-0.491859,-0.483179,-0.82568,-0.811769,-0.844942,-0.671835,-0.458957,0
-0.74182,-0.886506,-1.423576,-1.012787,-0.95092,-1.068873,-0.962098,0
-0.825141,-0.584011,-0.82568,-0.889319,-1.03435,-1.073437,-0.530834,0
0.174706,0.02098,-0.347364,-0.276061,-0.278975,-0.315869,-0.207386,1
0.049725,0.071396,-0.586522,-0.484221,-0.569851,-0.201777,-0.423018,1
-0.283557,-0.331931,-0.108206,-0.441365,-0.468382,-0.717471,-0.135509,1
-0.70016,-0.684842,-0.82568,-0.870951,-1.032095,-0.776799,-0.530834,1
0.299687,0.222644,0.250532,0.109649,-0.057999,-0.078559,0.511387,0
-0.991782,-1.037754,-1.303997,-1.159724,-1.10425,-1.105382,-1.105852,0
-1.158423,-1.138586,-1.303997,-1.174009,-1.156112,-1.123637,-1.105852,0
-1.283404,-1.441081,-1.543155,-1.25462,-1.214738,-1.182965,-1.213668,0
-1.366725,-1.289833,-1.423576,-1.333191,-1.255325,-1.187528,-1.213668,0
