A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,Class
1.0,0.125263,0.409286,0.5,0.230769,0.375,0.055614,0.0,0.0,0.0,1.0,0.5,0.05,0.01212,0
0.0,0.134135,0.25,0.5,0.538462,0.375,0.005789,0.0,0.0,0.0,0.0,0.5,0.08,0.0,0
0.0,0.238045,0.0625,0.0,0.230769,0.375,0.04386,0.0,0.0,0.0,1.0,0.5,0.14,0.0,0
0.0,0.119098,0.410714,0.0,0.307692,0.25,0.0,1.0,1.0,0.164179,1.0,0.5,0.0,0.0,1
1.0,0.096541,0.291786,0.5,0.384615,0.375,0.068772,1.0,1.0,0.208955,0.0,0.5,0.03,0.00158,1
0.0,0.031278,0.020893,0.5,0.538462,0.875,0.052632,1.0,1.0,0.029851,0.0,0.5,0.05,0.0,1
1.0,0.055188,0.232143,0.5,0.153846,0.375,0.004386,0.0,0.0,0.0,0.0,0.5,0.03,0.001,0
0.0,0.675489,0.159286,0.5,0.769231,0.875,0.106667,1.0,1.0,0.089552,0.0,0.5,0.0215,0.0056,1
1.0,0.211729,0.035714,0.0,0.076923,0.875,0.105263,0.0,0.0,0.0,0.0,0.5,0.088,0.00537,0
0.0,0.631579,0.252857,0.5,0.230769,0.875,0.236842,1.0,1.0,0.044776,1.0,0.5,0.05,0.0005,0
1.0,0.296992,0.0625,0.5,1.0,0.875,0.157895,1.0,1.0,0.059701,1.0,0.5,0.1265,0.00857,1
1.0,0.41609,0.178571,0.5,0.769231,0.875,0.175439,1.0,1.0,0.089552,1.0,0.5,0.235,0.0,1
1.0,0.10406,0.044643,0.0,0.538462,0.875,0.048246,1.0,1.0,0.044776,1.0,0.5,0.07,0.0021,0
1.0,0.318346,0.178571,0.5,1.0,0.875,0.263158,1.0,1.0,0.089552,1.0,0.5,0.0,0.01,1
1.0,0.674135,0.096786,0.5,0.538462,0.375,0.084737,0.0,0.0,0.0,1.0,0.5,0.16,0.0,0
1.0,0.516241,0.215714,0.5,0.230769,0.375,0.001404,0.0,0.0,0.0,0.0,0.5,0.0,0.0269,1
1.0,0.238045,0.160714,0.5,0.615385,0.375,0.263158,1.0,1.0,0.029851,1.0,0.5,0.165,0.0,1
0.0,0.077744,0.321429,0.5,0.384615,0.375,0.026316,1.0,1.0,0.029851,0.0,0.5,0.044,0.00591,1
1.0,0.093985,0.044643,0.0,0.230769,0.375,0.004386,0.0,0.0,0.0,0.0,0.5,0.07,4e-05,0
0.0,0.130376,0.202321,0.5,0.769231,0.375,0.090702,1.0,1.0,0.104478,0.0,0.5,0.0645,0.03257,1
0.0,0.216842,0.020893,0.5,0.384615,0.375,0.001404,0.0,0.0,0.0,0.0,0.5,0.13,0.01004,0
0.0,0.081504,0.020893,0.0,0.384615,0.375,0.020526,1.0,0.0,0.0,1.0,0.5,0.08,0.0,0
1.0,0.412331,0.047679,0.5,0.076923,0.375,0.005789,0.0,0.0,0.0,0.0,0.5,0.084,0.0,0
1.0,0.418496,0.0625,0.5,0.230769,0.375,0.007368,1.0,0.0,0.0,0.0,0.5,0.08,0.0,0
1.0,0.086466,0.342321,0.5,0.384615,0.375,0.027719,0.0,0.0,0.0,0.0,0.5,0.04,0.0035,0
1.0,0.285714,0.053571,0.5,0.923077,0.875,0.192982,1.0,1.0,0.044776,1.0,0.5,0.0,0.0,1
1.0,0.131579,0.004464,0.0,0.230769,0.375,0.004386,0.0,0.0,0.0,0.0,0.5,0.1,0.0007,0
1.0,0.29203,0.108571,0.0,0.538462,0.875,0.071579,1.0,1.0,0.014925,1.0,0.5,0.09,0.18027,1
0.0,0.254436,0.428571,0.5,0.538462,0.375,0.070175,1.0,1.0,0.014925,0.0,0.5,0.11,0.00019,1
1.0,0.140301,0.089286,0.5,0.538462,0.375,0.03807,1.0,1.0,0.164179,1.0,0.5,0.03,0.02184,1
1.0,0.199248,0.026786,0.5,0.538462,0.875,0.149123,1.0,1.0,0.044776,1.0,0.5,0.156,0.0015,1
0.0,0.100301,0.375,0.0,1.0,0.875,0.0,0.0,0.0,0.0,1.0,0.5,0.077,0.00032,0
1.0,0.58015,0.049107,0.0,0.538462,0.875,0.33193,1.0,0.0,0.0,1.0,0.5,0.1,0.001,0
1.0,0.140301,0.410714,0.5,0.615385,0.875,0.074561,1.0,1.0,0.164179,1.0,0.5,0.145,0.00284,1
1.0,0.437293,0.044643,0.5,0.461538,0.375,0.486842,0.0,1.0,0.014925,1.0,0.5,0.176,0.00112,0
1.0,0.918496,0.678571,0.0,0.0,0.0,0.001404,0.0,1.0,0.029851,0.0,0.5,0.0,0.00351,0
1.0,0.169173,0.446429,0.5,0.384615,0.375,0.105263,1.0,0.0,0.0,1.0,0.0,0.01,0.0,1
1.0,0.388421,0.496964,0.5,0.615385,0.375,0.302632,1.0,1.0,0.089552,1.0,0.5,0.035,0.0,1
0.0,0.511278,0.285714,0.5,0.538462,0.375,0.276316,1.0,1.0,0.089552,1.0,0.5,0.0,0.0126,1
0.0,0.506316,0.107143,0.5,1.0,0.375,0.486842,1.0,1.0,0.029851,1.0,0.5,0.2595,0.01704,1
1.0,0.141654,0.0,0.5,0.923077,0.375,0.002982,1.0,0.0,0.0,0.0,0.5,0.0,0.0,1
1.0,0.132782,0.053571,0.0,0.384615,0.375,0.018947,0.0,0.0,0.0,1.0,0.5,0.06,0.00067,0
1.0,0.195489,0.040179,0.5,1.0,0.875,0.04386,1.0,0.0,0.0,0.0,0.5,0.0,0.05298,1
1.0,0.745564,0.019286,0.5,0.538462,0.375,0.020526,1.0,1.0,0.044776,1.0,0.5,0.09,0.0,0
1.0,0.150376,0.014821,0.0,0.538462,0.375,0.001404,0.0,1.0,0.029851,0.0,0.5,0.064,6e-05,0
0.0,0.105263,0.366071,0.5,0.769231,0.375,0.024912,1.0,1.0,0.029851,1.0,0.5,0.0245,0.0,1
0.0,0.161654,0.0625,0.0,0.538462,0.375,0.005789,0.0,0.0,0.0,0.0,0.5,0.066,0.0,0
1.0,0.036391,0.001429,0.5,0.538462,0.375,0.001404,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1
0.0,0.236842,0.071429,0.0,0.692308,0.875,0.070175,0.0,0.0,0.0,0.0,0.5,0.128,0.00017,0
0.0,0.587669,0.535714,0.5,0.538462,0.375,0.192982,1.0,1.0,0.208955,0.0,0.5,0.0,0.022,1
1.0,0.279398,0.125,0.5,0.230769,0.375,0.017544,0.0,0.0,0.0,1.0,0.5,0.116,0.0,0
1.0,0.110226,0.147321,0.0,0.153846,0.875,0.001404,0.0,0.0,0.0,0.0,0.5,0.07,0.001,0
1.0,0.216842,0.004464,0.0,0.230769,0.375,0.002982,0.0,0.0,0.0,0.0,0.5,0.108,0.021,0
1.0,0.078947,0.0625,0.0,0.538462,0.375,0.08193,0.0,0.0,0.0,1.0,0.5,0.056,6e-05,0
1.0,0.20797,0.116071,0.0,0.769231,0.875,0.178421,0.0,1.0,0.029851,1.0,0.5,0.1845,1e-05,0
1.0,0.211729,0.053571,0.5,0.615385,0.375,0.070175,1.0,1.0,0.164179,1.0,0.5,0.217,0.00035,1
1.0,0.394737,0.232143,0.5,0.384615,0.5,0.122807,1.0,1.0,0.014925,0.0,0.5,0.0,0.005,1
0.0,0.354586,0.089286,0.5,0.153846,0.875,0.007368,0.0,0.0,0.0,0.0,0.5,0.13,0.00246,0
1.0,0.432331,0.175536,0.0,0.615385,0.375,0.111053,1.0,0.0,0.0,1.0,0.5,0.026,0.01442,1
1.0,0.646617,0.4375,0.5,0.461538,0.375,0.04386,1.0,1.0,0.059701,1.0,0.5,0.1,0.0,1
1.0,0.442406,0.178571,0.5,0.153846,0.5,0.078947,0.0,0.0,0.0,1.0,0.5,0.0705,0.0,0
0.0,0.150376,0.025357,0.5,0.615385,0.375,0.008772,0.0,1.0,0.014925,1.0,0.5,0.12,4e-05,0
1.0,0.071429,0.071429,0.5,0.153846,0.375,0.052632,1.0,1.0,0.029851,0.0,0.5,0.06,0.003,1
0.0,0.407218,0.125,0.5,0.153846,0.5,0.017544,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0
0.0,0.161654,0.017857,0.5,0.769231,0.875,0.052632,1.0,0.0,0.0,0.0,0.5,0.14,0.00824,1
1.0,0.424812,0.349643,0.5,1.0,0.875,0.279298,1.0,1.0,0.119403,0.0,0.5,0.0,0.0,1
0.0,0.086466,0.005893,0.5,0.769231,0.375,0.001404,0.0,0.0,0.0,1.0,0.5,0.19,0.0,0
1.0,0.116541,0.410714,0.5,0.153846,0.375,0.017544,1.0,0.0,0.0,1.0,0.5,0.05,0.00068,0
1.0,0.263158,0.10125,0.5,0.0,0.0,0.0,0.0,1.0,0.074627,0.0,0.5,0.088,0.00146,0
1.0,0.203008,0.056607,0.5,0.923077,0.875,0.064386,1.0,1.0,0.179104,1.0,0.5,0.2915,0.00713,1
1.0,0.526316,0.940536,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0
0.0,0.250677,0.049107,0.5,0.615385,0.875,0.001404,0.0,1.0,0.044776,0.0,0.5,0.0,0.00033,0
1.0,0.235639,0.044643,0.5,0.615385,0.375,0.061404,0.0,0.0,0.0,0.0,0.5,0.1,0.0,0
1.0,0.218045,0.18,0.0,0.538462,0.5,0.052632,1.0,1.0,0.119403,1.0,0.5,0.072,7e-05,1
1.0,0.398496,0.767857,0.5,0.692308,1.0,0.701754,1.0,1.0,0.164179,0.0,0.5,0.0,0.012,1
1.0,0.342105,0.151786,0.5,0.769231,0.375,0.122807,0.0,0.0,0.0,0.0,0.5,0.227,0.0005,0
1.0,0.177895,0.011964,0.5,0.230769,0.875,0.122807,0.0,0.0,0.0,1.0,0.5,0.17,0.0,0
1.0,0.241805,0.125,0.5,0.538462,0.375,0.005789,0.0,0.0,0.0,0.0,0.5,0.108,0.0,0
1.0,0.140301,0.0,0.5,0.230769,0.375,0.035088,0.0,1.0,0.164179,0.0,0.0,0.0,0.0,0
0.0,0.276992,0.052143,0.5,0.615385,0.375,0.03807,1.0,1.0,0.238806,0.0,0.5,0.06,0.02079,1
1.0,0.171729,0.125,0.5,0.923077,0.375,0.02193,1.0,1.0,0.104478,0.0,0.5,0.0,0.07059,1
0.0,0.322105,0.133929,0.5,0.0,0.0,0.0,0.0,1.0,0.089552,0.0,0.5,0.0,0.002,0
0.0,0.072632,0.357143,0.5,0.076923,0.375,0.014561,0.0,0.0,0.0,0.0,0.5,0.04,0.00042,0
1.0,0.393534,0.178571,0.5,0.153846,0.5,0.007368,0.0,0.0,0.0,0.0,0.5,0.275,0.0,0
1.0,0.145414,0.035714,0.5,0.538462,0.375,0.017544,0.0,0.0,0.0,1.0,0.0,0.14,0.0,0
1.0,0.358346,0.0,0.5,0.538462,0.375,0.0,0.0,0.0,0.0,0.0,1.0,0.092,0.0,1
0.0,0.165414,0.488036,0.5,0.769231,0.875,0.052632,0.0,0.0,0.0,0.0,0.5,0.14,1e-05,0
0.0,0.5,0.464286,0.5,0.153846,0.5,0.181228,1.0,1.0,0.134328,1.0,0.5,0.0,0.0,1
1.0,0.307068,0.1875,0.5,0.615385,0.375,0.002982,0.0,0.0,0.0,1.0,0.5,0.145,6e-05,1
1.0,0.126617,0.020893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.05,0.0,0
1.0,0.210526,0.046071,0.5,0.230769,0.875,0.008772,0.0,0.0,0.0,1.0,0.0,0.07,0.0,0
1.0,0.43609,0.145893,0.5,0.384615,0.375,0.001404,0.0,0.0,0.0,0.0,0.5,0.054,0.001,0
1.0,0.224361,0.517857,0.5,0.076923,0.375,0.004386,0.0,0.0,0.0,0.0,0.5,0.0,0.00286,0
1.0,0.338346,0.178571,0.5,0.538462,0.5,0.087719,1.0,1.0,0.089552,0.0,0.5,0.0,0.00367,1
0.0,0.066466,0.357143,0.0,0.769231,0.875,0.005789,0.0,0.0,0.0,0.0,0.5,0.17,0.0,0
1.0,0.112782,0.053571,0.5,0.615385,0.375,0.052632,0.0,0.0,0.0,0.0,0.5,0.075,8e-05,1
0.0,0.378496,0.059464,0.5,0.384615,0.375,0.008772,0.0,0.0,0.0,0.0,0.5,0.0,0.0039,0
1.0,0.27188,0.001429,0.0,0.461538,0.375,0.001404,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0
0.0,0.053835,0.339286,0.5,0.384615,0.375,0.061404,0.0,1.0,0.149254,1.0,0.5,0.0,1e-04,0
0.0,0.100301,0.029821,0.5,0.769231,0.375,0.055614,1.0,1.0,0.014925,0.0,0.5,0.0,0.0,1
0.0,0.380902,0.142857,0.5,0.538462,0.375,0.105263,0.0,0.0,0.0,0.0,0.5,0.24,0.0,0
