variance,skewness,curtosis,entropy,Class
1.121806,1.149455,-0.97597,0.354561,0
1.447066,1.064453,-0.895036,-0.128767,0
1.20781,-0.777352,0.122218,0.618073,0
1.063742,1.295478,-1.255397,-1.144029,0
-0.036772,-1.087038,0.73673,0.096587,0
1.384604,1.320874,-1.243653,-0.938386,0
1.111108,0.185881,-0.155217,0.836028,0
0.583612,-1.488408,1.640023,0.28068,0
0.974571,0.653913,-0.499268,0.275752,0
0.387745,1.236571,-0.85168,0.217263,0
0.27834,1.168511,-0.838148,0.183401,0
1.25141,-0.788994,0.231399,0.97825,0
0.51573,0.978394,-0.288662,-0.91377,0
-0.707505,1.520502,0.266586,-0.830637,0
1.045232,1.159682,-1.018723,0.29484,0
1.493024,-0.905392,0.48555,1.270687,0
0.787607,0.194693,-0.238147,0.846494,0
0.130137,0.157655,0.683834,0.853879,0
0.356883,-1.159342,1.611985,-0.436588,0
1.692128,1.551899,-1.334729,-1.385381,0
1.883702,1.017205,-0.932405,0.335473,0
-0.036786,-1.087038,0.73673,0.096587,0
1.232513,1.404462,-1.211832,-1.345338,0
0.17669,1.186851,-0.715042,-0.222947,0
1.407618,1.357555,-1.410511,-1.217306,0
0.095704,-1.264798,1.610593,-0.799831,0
0.24966,-0.965356,0.970201,0.264672,0
-0.287105,1.102548,0.177505,-1.213592,0
2.156986,1.345913,-1.348261,-0.968526,0
1.568365,-0.900091,0.469442,1.086613,0
-0.239941,-0.357995,0.814484,0.640851,0
0.371135,0.290621,0.4434,0.800318,0
1.359443,0.970639,-0.878511,0.109519,0
-0.492252,1.276439,0.07726,-1.748005,0
-0.72137,-0.189755,1.570207,0.856959,0
0.705685,0.770312,-0.511797,0.238194,0
0.793308,0.698349,-0.432646,0.23758,0
1.124375,-0.189049,0.0534,0.936998,0
1.454807,0.216562,-0.813081,0.708577,0
1.072153,1.325817,-1.195724,-1.069514,0
1.315174,1.158983,-1.025895,0.283141,0
-0.225192,1.243985,-1.184188,-2.675229,0
-0.155056,1.256326,-0.420117,-0.367644,0
0.186744,0.667668,0.214897,0.598987,0
0.852427,0.851428,-0.508615,0.797852,0
-0.42954,1.302892,-1.20329,-3.005238,0
0.580832,0.801691,-0.212096,-0.486487,0
-0.42954,1.302892,-1.20329,-3.005238,0
1.223364,0.706104,-0.893829,0.242503,0
0.422688,0.23243,0.34297,0.608838,0
1.368944,-1.160041,0.473017,0.292373,0
1.69906,0.3513,-0.68582,1.048427,0
0.954161,0.665197,-0.443782,-0.144147,0
0.744359,0.720575,-0.593745,-0.021637,0
1.580963,0.609119,-0.8994,0.326236,0
1.545808,-0.190813,0.055582,1.132798,0
0.749462,0.827446,-0.468246,0.751062,0
1.890845,0.526231,-0.843928,0.776307,0
0.951522,-1.028132,0.736336,1.038586,0
-0.428129,1.608675,-0.411764,-2.789121,0
0.863653,-0.251477,0.741117,0.451221,0
0.02214,0.614403,0.088401,0.342863,0
1.345965,1.597749,-1.274685,-1.501749,0
0.47864,-0.518118,0.034298,0.443218,0
1.748361,0.201392,-0.592144,1.312587,0
0.740031,0.115333,0.161583,0.66302,0
1.468004,-1.02249,0.315907,0.719661,0
0.700196,1.29725,-1.039009,-0.753694,0
0.199585,0.999206,-0.389888,-0.69951,0
-0.109256,1.203777,-0.54143,-0.591142,0
1.23839,-0.72903,0.227825,0.797238,0
1.30328,-0.243718,-0.070704,1.437572,0
1.507663,1.379423,-1.240868,-1.269633,0
1.313168,-0.915619,0.521155,1.085375,0
1.398152,1.531445,-1.386836,-1.540506,0
0.659059,0.27511,-0.190815,0.76707,0
1.182297,1.033414,-0.915717,-0.323935,0
-0.135326,0.719518,0.089399,0.224034,0
-0.065237,0.975224,-0.094959,0.151385,0
0.245613,0.348113,0.464266,0.969013,0
0.833847,1.22106,-1.105831,0.080589,0
1.419723,0.062784,-0.102117,0.962856,0
1.613373,1.137814,-1.00619,-0.04254,0
0.504153,0.997791,-0.379745,-0.843588,0
0.989281,0.802407,-0.471625,0.981326,0
1.26538,0.128389,-0.13712,0.908677,0
-0.550734,-0.003179,1.424238,1.053998,0
0.155643,0.833786,-0.128967,0.485703,0
1.297086,-0.804164,0.156221,0.88836,0
1.185535,-0.188696,0.163973,1.055188,0
0.36839,0.974167,-0.971398,0.075018,0
1.277204,0.283224,-0.156013,0.755371,0
1.362786,1.071169,-0.970191,-0.115198,0
0.709028,-1.404463,1.52388,0.665482,0
0.998711,-0.023633,0.166759,0.859421,0
-0.379507,-1.112776,1.61296,-0.722888,0
0.886984,-0.144259,-0.174507,0.993024,0
0.608033,-1.500408,1.567631,0.528799,0
1.191622,1.534973,-1.255397,-1.826806,0
-1.117502,1.616089,0.265007,-2.089108,0
1.032177,-1.211533,0.532876,0.02331,0
1.451922,-0.740331,0.288658,1.337203,0
1.646592,-0.412664,-0.178485,1.100135,0
1.022605,-1.114191,0.599907,0.454302,0
1.326294,-0.288865,-0.101323,1.030582,0
1.094428,-0.116391,0.139115,1.593315,0
0.661522,1.49018,-1.143431,-1.702439,0
-0.8066,1.016489,-0.710678,-0.307937,0
0.940367,1.298648,-1.311659,-1.338577,0
0.873611,1.518389,-1.100469,-1.395237,0
1.252219,-1.089152,0.54144,0.515252,0
0.381551,0.64297,-0.302384,0.554658,0
0.985797,1.316647,-1.068834,-0.668085,0
1.33196,0.834144,-0.621574,0.929613,0
0.474418,0.851428,-0.620182,-0.182952,0
0.738764,0.168939,-0.515179,0.509096,0
1.218683,0.93643,-0.747861,0.634081,0
0.589172,0.830616,-0.364034,0.800933,0
0.866785,-0.207038,0.207121,1.455998,0
0.174529,-0.974867,0.753233,0.426596,0
1.066417,1.494049,-1.115185,-1.389048,0
1.280055,1.445386,-1.292765,-1.698154,0
-0.665418,1.22706,0.080046,-1.872372,0
-0.683118,8e-06,1.334345,0.991796,0
-0.475385,1.374838,-0.050419,-1.921033,0
0.900954,0.899749,-0.606464,0.720275,0
-0.97713,1.879908,0.448159,-2.262088,0
1.17818,-0.819333,0.199183,0.492474,0
1.490349,-0.104408,-0.311532,1.476329,0
1.067156,-0.138259,0.080046,1.204837,0
0.997972,-1.067641,0.531692,0.425363,0
1.65268,1.150171,-0.995467,-0.150908,0
0.556058,0.71916,-0.236358,0.83849,0
5.8e-05,0.616534,0.147471,0.374878,0
-0.518641,1.274325,-0.124789,-1.972122,0
1.311444,1.584693,-1.163114,-1.376144,0
1.760995,1.28595,-1.471368,-1.299153,0
1.618124,1.070453,-0.933797,0.075018,0
1.691952,1.468652,-1.280046,-1.470324,0
-0.225192,1.243985,-1.184188,-2.675229,0
0.583225,-0.166829,0.731949,1.154939,0
0.456752,-0.386916,0.64823,0.095359,0
1.316054,0.240544,-0.654997,0.855112,0
1.227938,-0.881052,0.478193,0.965937,0
1.201511,1.403047,-1.219398,-1.443232,0
0.030181,-0.883882,0.392686,0.098444,0
1.205135,-0.193987,-0.068314,1.377198,0
0.463051,-0.357642,0.878521,1.18265,0
1.123952,-0.160127,-0.164564,0.869272,0
0.811255,0.933958,-0.307753,-0.637327,0
1.446643,1.07468,-0.885288,-0.188475,0
-0.771938,1.704262,0.296619,-1.01533,0
1.631179,-0.291333,-0.277326,1.143273,0
1.064622,1.566353,-1.300123,-1.857611,0
0.528575,1.064112,-0.329828,-0.508008,0
0.722189,-0.497312,0.915124,0.493707,0
0.699879,-1.107492,1.055916,0.669791,0
1.23663,-0.97064,0.344757,0.576822,0
0.643857,-1.092322,0.524125,0.275752,0
0.324755,0.394321,0.170936,0.720275,0
1.622769,0.336471,-0.656389,0.97825,0
1.096575,1.141001,-1.085545,-0.004401,0
-0.091591,1.013677,-0.262012,-1.236351,0
0.692208,1.267609,-1.10344,-1.0289,0
1.56643,-0.05503,-0.324459,1.348297,0
