A1,A2,A3,A4,A5,A6,A7,A8,Class
1.094586,1.192763,-0.667176,-0.595963,-0.498189,-0.27581,-0.12199,-0.412687,0
1.566772,-0.00931,-0.872921,-0.532373,-0.597106,-0.926553,1.365904,1.18595,0
0.643012,1.302396,-0.591172,-0.605015,-0.585183,-0.990146,1.063217,1.040041,0
0.476248,0.904728,-0.696817,-0.590749,-0.46849,-0.283773,-0.311707,-0.502528,0
0.086299,-0.132768,-0.539056,-0.497016,-0.569337,-0.793021,0.560473,0.199521,0
0.925116,1.347972,-0.754334,-0.587836,-0.574397,-0.875026,0.554063,0.263938,0
1.138932,-0.275057,-0.757887,-0.476852,-0.565649,-0.784338,0.486423,0.135527,0
0.695477,-0.265574,-0.40758,-0.42454,-0.473744,-0.311431,-0.287711,-0.488211,0
0.55786,-0.226289,-0.559022,-0.486914,-0.572789,-0.963118,0.69611,0.63862,0
0.384226,0.483418,-0.610385,-0.578972,-0.57459,-0.915821,0.769064,0.573298,0
-0.398795,0.205045,-0.071622,-0.360696,0.96676,1.177449,-1.102194,-0.744224,0
0.032585,-1.141404,-0.45583,-0.335453,-0.572639,-0.902056,0.554979,0.323763,0
0.176447,-0.416751,-0.615444,-0.480842,-0.591659,-0.992527,1.020363,0.975686,0
0.535583,0.787575,-0.590992,-0.565261,-0.599121,-0.898066,1.296269,0.9821,0
0.688606,0.918651,-0.629946,-0.576634,-0.520425,-0.43477,0.000395,-0.323251,0
0.543078,-0.029616,-0.693986,-0.520731,-0.471899,-0.284097,-0.280926,-0.486818,0
1.806196,0.204822,-0.938639,-0.518718,-0.579844,-0.907393,0.848654,0.611563,0
1.540331,0.387869,-0.756885,-0.552675,3.522625,2.023379,-1.561756,-0.754303,0
0.661958,-0.014789,-0.821735,-0.534447,-0.601694,-1.055281,1.680581,2.020716,0
0.494152,-0.575882,-0.533064,-0.477502,-0.578686,-0.921618,0.608587,0.396844,0
1.279463,-0.246006,-0.82461,-0.49509,-0.566742,-0.794042,0.39399,0.069125,0
0.876815,-0.154276,-0.550558,-0.515514,-0.406198,-0.039615,-0.43466,-0.564004,0
0.370277,0.566229,-0.551062,-0.549028,-0.602424,-1.070625,1.76415,2.263189,0
1.227831,0.726565,-0.861378,-0.575908,-0.33312,0.272214,-0.572431,-0.62718,0
0.063189,0.191919,-0.418396,-0.531142,-0.185227,0.820031,-0.727695,-0.68418,0
-0.390884,-0.796347,-0.312396,-0.340288,-0.581281,-0.973198,1.048688,1.018764,0
0.540996,0.34065,-0.666701,-0.553765,-0.506208,-0.436712,-0.070276,-0.35374,0
1.157878,0.588387,-0.674579,-0.573467,-0.576756,-0.955407,0.773059,0.648631,0
0.492487,-0.112023,-0.545712,-0.524123,-0.563033,-0.836203,0.287348,0.022622,0
0.111282,0.378393,-0.440234,-0.519763,-0.580723,-0.9534,0.960716,0.822826,0
0.235783,0.944132,-0.440255,-0.530019,-0.587907,-1.008822,1.0863,1.148941,0
0.000314,-0.707032,-0.462943,-0.420732,-0.527995,-0.529043,0.027838,-0.298754,0
0.426073,1.560026,-0.630023,-0.569891,-0.476467,-0.382739,-0.218354,-0.428851,0
0.826223,0.589664,-0.667155,-0.593383,-0.567,-0.854488,0.549193,0.270344,0
0.901798,0.794674,-0.728354,-0.590232,-0.576327,-0.887468,0.652453,0.385127,0
0.4852,0.995405,-0.64001,-0.57676,-0.578665,-0.704707,0.70166,0.253473,0
0.556611,0.52333,-0.693495,-0.538896,-0.600236,-0.943554,1.284118,1.035649,0
0.067353,-1.080914,-0.497669,-0.35869,-0.609264,-1.022329,1.789627,1.828123,0
0.661749,1.688075,-0.657676,-0.619675,-0.470892,-0.240591,-0.231946,-0.457614,0
0.86349,1.631143,-0.721258,-0.615657,0.031756,0.651244,-0.925679,-0.721706,0
0.643845,0.289881,-0.50485,-0.540101,-0.564727,-0.709268,0.458056,0.069117,0
0.993195,0.707571,-0.66229,-0.579601,-0.581988,-0.783627,0.8741,0.4745,0
0.537249,0.919564,-0.48523,-0.548188,-0.610207,-0.938435,1.904684,1.706603,0
0.708385,0.32467,-0.699002,-0.528117,-0.540281,-0.73478,0.017064,-0.23317,0
0.711091,1.248943,-0.599757,-0.601736,-0.460921,-0.367045,-0.319346,-0.494687,0
0.052155,-0.765297,-0.445489,-0.42289,-0.596076,-1.040405,1.509639,1.744583,0
0.667787,-0.542943,-0.543549,-0.503141,-0.576628,-0.780257,0.592032,0.192706,0
0.351123,0.225868,-0.632121,-0.529449,-0.607656,-0.941641,1.682272,1.431379,0
0.655712,0.804624,-0.697787,-0.561958,-0.596548,-1.034877,1.391193,1.574043,0
1.021302,0.773135,-0.85581,-0.563132,-0.561274,-0.677716,0.398806,0.009652,0
0.791246,0.404883,-0.674408,-0.506262,-0.289955,0.438602,-0.59196,-0.633449,0
0.523716,0.111909,-0.564949,-0.508824,-0.583039,-0.976371,0.999534,0.962257,0
0.064855,-0.357142,-0.435917,-0.46222,-0.561124,-0.688284,0.326598,-0.057317,0
1.265722,1.562523,-0.790545,-0.590681,2.005034,2.868234,-1.30201,-0.768895,0
0.41025,1.021321,-0.60609,-0.589338,-0.591316,-0.82027,1.071937,0.698117,0
1.048159,-0.211495,-0.466826,-0.49896,-0.569916,-0.900703,0.548728,0.325462,0
0.528088,1.027315,-0.517684,-0.553406,-0.569744,-0.938805,0.523052,0.409265,0
1.638183,0.540608,-0.885851,-0.541874,-0.352269,0.217971,-0.480941,-0.589303,0
0.361741,-0.125512,-0.693872,-0.530974,-0.475545,-0.164548,-0.170352,-0.436863,0
-0.491234,-0.991495,-0.205629,-0.215545,-0.612395,-1.066631,2.22076,2.639517,0
0.033209,0.866289,-0.390712,-0.513437,-0.568908,-0.803907,0.287495,-0.033386,0
-0.020921,-0.606235,-0.362413,-0.404688,-0.556171,-0.822934,0.271675,0.008353,0
1.350458,1.34267,-0.81223,-0.619193,1.634626,1.990041,-1.249985,-0.763189,0
0.509767,1.389876,-0.600865,-0.59614,-0.506852,-0.326912,-0.093691,-0.393661,0
1.204513,0.519904,-0.718666,-0.571413,-0.59762,-1.061425,1.606339,2.033014,0
0.301572,0.567772,-0.503807,-0.50386,-0.567278,-0.773944,0.390578,0.035421,0
0.500607,1.039982,-0.523847,-0.557618,-0.591552,-1.057586,1.499174,1.905248,0
0.27763,0.322596,-0.575025,-0.52795,-0.482171,-0.251591,-0.164886,-0.422283,0
0.062773,-0.52779,-0.561428,-0.460102,-0.499304,-0.334139,-0.018924,-0.332794,0
0.999025,0.939219,-0.864593,-0.582282,-0.569337,-0.71639,0.667289,0.260144,0
0.958011,1.020145,-0.790623,-0.592687,-0.576928,-0.769032,0.795857,0.41403,0
0.379021,1.004635,-0.460006,-0.547498,-0.498532,-0.331917,-0.175123,-0.439371,0
0.714839,-0.012794,-0.647061,-0.549835,-0.559752,-0.771035,0.422223,0.095538,0
0.335716,0.636894,-0.530351,-0.556861,-0.567814,-0.90418,0.445378,0.260751,0
0.494777,0.27921,-0.548983,-0.531477,-0.578922,-0.911348,0.955838,0.757289,0
0.579304,0.852037,-0.588969,-0.577937,-0.564255,-0.770753,0.38855,0.051246,0
0.026963,0.89375,-0.52598,-0.554421,-0.583382,-0.695991,0.932293,0.477941,0
-0.222454,-0.740979,-0.420555,-0.381973,-0.54086,-0.701351,0.051938,-0.22614,0
-0.262636,-0.949908,-0.336397,-0.314261,-0.595004,-0.989472,1.188133,1.109967,0
0.597834,0.677416,-0.604017,-0.537736,-0.548323,-0.638589,0.320012,-0.021531,0
0.509767,1.007371,-0.656921,-0.568013,-0.579501,-0.971861,0.829649,0.755162,0
0.830179,1.003138,-0.732366,-0.589668,-0.53164,-0.376566,0.15907,-0.227292,0
1.001523,1.681295,-0.717964,-0.598694,-0.094265,0.707049,-0.854013,-0.712178,0
-0.385471,-0.724338,-0.337694,-0.328395,-0.5994,-0.988559,1.220595,1.106455,0
1.257811,0.015151,-0.761285,-0.518098,-0.578279,-0.873802,0.798617,0.509347,0
0.57056,0.078928,-0.618218,-0.480215,-0.608878,-1.093279,2.203493,2.988282,0
0.658002,-0.388781,-0.665781,-0.488673,-0.561339,-0.815369,0.349264,0.068184,0
0.030086,0.352421,-0.499654,-0.541233,-0.542426,-0.496423,0.241854,-0.146392,0
0.461882,1.16317,-0.510738,-0.572841,-0.518881,-0.472671,0.006892,-0.304018,0
0.103371,0.544577,-0.411329,-0.506816,-0.577206,-0.771029,0.671461,0.275801,0
0.568894,1.184324,-0.743805,-0.616175,-0.566163,-0.70686,0.64252,0.237073,0
0.275964,0.317176,-0.416534,-0.517644,-0.595433,-0.892044,1.067957,0.71777,0
