V1,V2,V3,V4,V5,Class
1.588575,-0.200138,-0.510578,-0.646178,-0.231448,0
-0.229548,1.556405,0.722603,-1.144113,-0.154591,0
-0.665758,-0.162762,1.991138,-1.705772,-0.154591,0
-0.30935,1.257421,0.33656,-0.053485,-0.463254,0
0.102769,1.84006,-1.397068,-0.785365,-0.355715,0
-0.33227,2.836171,-1.527473,-0.870646,-0.414777,0
-0.011567,-0.766335,0.902643,0.772154,0.816205,0
1.620727,0.117081,-1.091191,-0.336093,-0.256243,0
-0.346959,-0.203646,1.003807,1.117956,-0.921569,0
1.463812,-0.383989,-0.525232,-0.171995,1.719022,0
-0.723937,-0.381051,1.523826,-1.577696,-0.874084,0
-1.122595,0.04124,1.247237,-1.473725,-0.154591,0
-0.271636,1.451174,-1.42505,-0.135078,1.620751,0
-0.52279,-0.945746,0.12193,2.060712,-1.453929,0
-0.749498,-0.244507,0.182971,-0.184815,-0.154591,0
0.049464,1.098007,-1.258486,-0.269914,0.107698,0
-0.596599,-0.115342,0.657837,0.123344,-0.781663,0
0.848186,1.874919,-1.425833,-0.772033,-0.352506,0
-0.24911,2.11395,-1.493302,-0.208537,-0.389885,0
-0.231334,0.819012,0.368505,-0.113506,-0.405779,0
0.465453,0.915712,-1.292896,-0.712072,0.065469,0
-0.679992,-0.580585,0.241756,1.204881,-0.920275,0
2.677886,-1.77055,-0.779262,-0.390049,-0.253131,0
0.813577,1.189214,-1.317224,-0.251669,0.151858,0
2.94005,-1.820039,-1.021979,-0.643054,-0.241285,0
0.460425,-0.591286,-1.063798,-0.447341,-0.006415,0
-0.675465,-0.641479,0.100042,1.253949,-0.154591,0
2.120985,-1.718888,-0.669267,-0.352866,-0.254984,0
-0.770719,-0.638979,0.85452,0.672886,0.760564,0
-0.511716,1.593128,-0.11068,-1.201485,-0.154591,0
0.816496,1.262515,-1.489523,-0.798781,0.009112,0
2.927274,-1.030339,0.563021,-0.947374,-0.360131,0
-0.607998,0.552963,-0.093577,-0.104427,-0.154591,0
-0.649549,-0.087985,1.791583,-1.329899,-0.154591,0
0.346105,0.827856,-0.196663,-1.078848,1.731548,0
3.00575,-1.757193,-0.68116,-0.658625,-0.016422,0
-0.46159,0.656415,-0.051113,-0.103566,-0.45401,0
2.445317,-0.997767,0.828546,-0.983709,-0.365416,0
2.966486,-0.789195,-1.054362,-0.334517,-0.261419,0
2.387777,-1.064964,-0.705961,-0.280116,-0.283384,0
0.676975,-0.135174,-1.753643,-1.278605,-0.670547,0
-0.239515,1.40753,-0.096011,-0.216163,0.171033,0
2.088161,-0.308859,-1.056118,-0.413495,-0.018908,0
-0.502445,0.637782,0.590263,-1.16403,0.342659,0
-0.780817,-0.935233,-0.322787,0.875978,1.88726,0
-0.83043,-1.0898,-0.614853,-0.00649,-0.753423,0
1.303144,-0.737244,-0.763608,-0.297929,-0.38976,0
-0.266098,1.697452,0.134872,0.066555,-0.468869,0
0.057447,1.973169,-1.440231,-0.783317,-0.349916,0
1.667974,-0.650083,-1.017956,-0.45959,-0.049178,0
-0.497047,0.677626,-0.311219,-0.840854,-0.342502,0
-0.391034,0.96324,1.58674,-1.467817,-0.154591,0
2.520549,-1.777488,-1.033854,-0.659363,0.064614,0
-0.039513,-0.855659,0.033805,1.901479,-1.074251,0
-0.51489,-0.074312,1.492835,-1.311257,0.870568,0
-0.523468,-0.0845,0.457977,0.448195,-0.154591,0
-0.477704,0.699938,0.319505,-1.098857,-0.154591,0
0.359006,1.72902,-1.562171,0.554783,-0.555609,0
1.363591,1.216355,-1.316885,-0.735865,-0.348158,0
-0.607731,0.125394,2.074239,-1.501838,-0.154591,0
-0.782169,-1.106373,-0.412189,0.198694,-1.723237,0
-0.644439,-1.017641,-0.472072,0.926735,3.32415,0
1.401644,1.176788,-0.094276,-0.824268,0.093091,0
0.925464,-0.590132,-1.064798,-0.370919,0.028248,0
-0.794236,-0.702772,-0.343,0.319086,1.03869,0
-0.209023,1.997163,-0.064655,0.715796,-0.773141,0
1.595175,-0.693899,-1.015174,-0.458944,-0.063598,0
-0.601416,-0.656243,1.070124,0.706466,-0.899965,0
-0.397999,-0.742826,0.152031,2.261701,-1.399676,0
-0.158121,0.775925,-0.081126,-0.167276,0.150775,0
-0.823717,-0.887215,-0.561934,0.059405,1.47597,0
0.886974,0.605523,-0.231088,-0.762146,-0.347371,0
-0.787287,-0.593723,-0.480103,0.31601,-0.154591,0
-0.848442,-0.113165,-1.214741,0.204391,-0.55186,0
-0.369666,1.555062,0.39916,0.461555,-0.154591,0
1.573928,1.1296,-1.436947,0.079552,0.321473,0
