A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,Class
0.494662,0.211748,0.386697,-0.448555,-0.132758,0.737099,0.365652,-0.191465,0.923351,0.985563,0.031806,-0.388941,0.704609,0.286131,-1.669144,0.526515,1.654269,-1.044026,-0.545909,1.465324,1
0.368181,-0.359911,0.461879,-1.316791,1.21738,0.605509,0.467685,-0.058419,-0.440357,-0.247981,0.505154,-0.060364,0.267292,0.195932,1.198461,0.804344,-0.372393,-0.063587,0.629271,0.068537,1
0.214789,0.766064,0.214944,0.675319,0.625897,-0.135762,-0.939714,1.387524,0.58389,0.447657,-0.215417,0.57218,1.49522,0.271995,-0.641109,0.66313,0.466965,-0.426108,-0.12994,-0.456606,1
-1.113261,0.559947,1.222127,-0.008399,-0.708128,-0.652865,1.615722,-0.397449,0.510916,-0.380772,0.003457,2.655385,-0.205752,-1.936528,-0.137718,2.55539,0.761948,-0.731801,-0.54319,1.447796,0
-0.316028,-3.282909,-0.456511,4.193215,-1.388232,-0.501437,-0.17282,3.612831,-0.162142,1.07117,0.186732,0.729152,-1.402585,-0.082068,-2.100148,-1.418289,-0.822241,-0.795814,1.113209,-0.941302,0
-0.570335,-0.298542,-2.08654,0.314338,0.804484,-0.50276,0.139204,0.635174,1.107742,2.820376,-2.302634,0.888119,0.01853,-0.791542,0.126596,-0.06067,0.063376,0.907708,-0.485417,-0.767378,0
0.627197,0.08034,-0.07023,-0.072141,-0.029366,0.750985,-0.017466,-0.134734,0.724626,-0.154959,-0.670306,-0.156144,0.134972,-0.415265,1.151974,-0.063954,-0.309374,0.948859,-0.189073,-0.520648,1
1.094773,1.874696,-0.127265,0.117072,-0.001168,-0.465729,0.369601,-0.610862,1.30386,0.316214,0.592836,0.970596,0.281185,0.517013,0.894301,-0.085629,0.28059,-0.081876,-0.106151,0.429194,1
-0.583791,-1.28844,2.78151,-0.343884,-0.417422,1.145756,1.193107,0.303573,0.655561,-0.337632,1.192762,0.733143,-1.456836,-0.00264,-1.028283,0.818137,-1.087055,-2.005523,-0.236651,-0.050109,0
-0.80446,0.377843,0.418455,-0.133199,0.90049,1.016811,1.606506,-0.079355,0.239217,-0.309995,-0.571417,0.267548,1.498528,-1.207533,1.157287,-0.267564,-0.971073,-0.654724,-1.37241,0.985347,1
-0.541406,0.435209,-0.797424,0.418338,-1.407702,-0.819502,0.434771,-1.3416,0.195563,1.293612,0.174865,0.49835,0.492897,0.403255,0.662529,-0.447529,0.621161,0.029166,-0.448034,-0.210551,1
0.681692,1.54851,-0.886216,2.547326,-0.477174,-1.717491,-0.459829,-2.133121,-0.841716,-0.146871,-1.429774,-2.706939,0.779369,-0.975978,0.120619,-0.329961,-0.798777,-0.040725,1.446935,1.026468,0
0.089653,-0.173805,-2.117002,1.493232,-0.809505,0.310588,-0.139906,0.167826,-0.028573,0.249481,-0.995981,1.444838,-0.843533,0.00813,0.015026,-0.216333,-1.294213,-0.491427,1.637928,2.270229,0
0.326469,0.535933,-0.417624,-2.654034,-1.849467,2.107887,-0.71919,-1.280818,-1.402706,-0.475816,-0.621521,-0.475409,-0.347334,0.359501,0.934148,-0.033741,-0.503124,-0.822594,-0.049737,-1.150955,0
-0.776203,0.022307,-0.238094,-0.143935,-0.021309,-0.188662,0.571035,0.618966,0.187092,-0.112493,0.130695,-0.018461,1.126047,1.673441,0.6094,-0.132262,0.02181,0.68301,0.570138,-0.772771,1
0.535028,0.010967,0.917509,0.985978,-0.37781,-1.265851,1.241162,-0.100291,0.507007,-0.149567,-0.393417,-0.168781,-0.613958,-0.84068,-1.005703,0.318964,0.57155,-0.647539,-0.138097,0.049661,1
0.103782,1.936064,-3.05678,-1.008144,1.965293,-0.156261,0.665168,-0.154995,0.437942,-1.435688,-0.18575,-0.302474,0.985127,1.073014,-1.852437,-1.456384,0.780719,-0.519514,2.715913,-1.707108,0
0.033141,1.02221,-0.234853,-0.245251,-0.165655,-0.637656,0.99694,0.774298,0.178622,1.323271,0.151791,-0.18541,-0.054245,0.741836,-0.283157,0.772817,-0.230265,-0.78275,1.607342,-0.350095,1
-0.361103,-0.028389,1.230552,-0.119109,0.497665,1.201302,-0.094485,0.264403,-0.052681,-0.170463,-0.196958,-0.18541,0.20444,0.762703,-0.019507,0.280869,-0.199426,0.605933,0.318654,0.419756,1
0.46506,-0.255851,-0.218002,0.427731,1.028723,-1.228821,2.715705,0.4015,0.450321,-1.151232,1.612711,-0.134194,-0.319547,-0.753847,0.693077,0.252626,-0.443457,-1.217122,-1.184816,1.836092,0
-0.778221,-0.020384,1.08991,-0.586104,-0.661131,0.190239,-1.041088,-1.454385,-0.407779,-1.204483,-0.632728,0.009475,-1.957666,0.84819,-0.610561,-0.071179,1.38074,-1.011366,-2.436801,-0.006291,0
0.278702,1.313042,0.524099,1.114805,0.35869,-0.157583,0.931113,0.393396,0.340208,0.645833,-0.065106,0.609427,-0.450543,-0.376224,-0.669666,0.728154,0.340257,-0.976094,0.759771,-0.228752,1
1.215872,-0.675424,1.239626,0.22644,1.152928,-0.752715,-0.746838,0.041534,0.044401,1.369782,-0.334743,-0.698895,0.397627,-0.134572,1.208423,1.811228,-0.293284,0.667333,-0.081682,-0.98175,1
1.331589,-0.105099,0.172816,-0.112399,0.487594,0.89514,0.352486,-0.239415,1.159866,-1.771374,0.561191,0.620735,0.999682,0.013515,-0.50696,0.223727,-1.004594,0.26954,-0.855847,-0.739065,1
