A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,Class
-0.613097,-1.028195,-0.903285,-1.018106,-0.908456,-0.763383,-0.960534,-0.890625,-0.912126,-0.826953,-0.613097,-1.391801,-1.02473,-1.374541,-1.14161,-0.892909,-1.319128,-1.225225,-1.26865,-1.173868,-0.613097,-0.733057,-0.638087,-0.653777,-0.750502,-0.645182,-0.803658,-0.816403,-0.756145,-0.748148,-0.613097,-0.633416,-0.191022,-0.48895,-0.276889,0.037651,-0.557311,-0.31217,-0.223285,-0.127305,0
-1.532538,-2.152183,-1.369044,-2.130263,-1.828188,-1.949982,-2.198981,-1.895075,-1.878099,-1.34419,-1.532538,-2.384125,-1.461223,-2.792171,-1.930775,-1.592489,-2.244964,-1.923379,-1.85349,-1.512623,-1.532538,-1.552993,-0.963303,-1.34159,-1.179968,-1.102546,-1.506067,-1.278349,-1.199633,-0.928939,-1.532538,-1.442843,-0.841793,-1.411868,-0.891013,-0.76065,-1.422686,-0.918432,-0.868562,-0.806737,0
-0.042749,-0.303198,-0.144034,-0.379484,-0.154022,-0.250988,-0.396242,-0.207418,-0.268144,-0.254625,-0.042749,-0.608643,-0.38929,-0.316715,-0.244831,0.273057,-0.592781,-0.475674,-0.453419,-0.545161,-0.042749,-0.462748,-0.230807,-0.464818,-0.344675,-0.156001,-0.443673,-0.383073,-0.340375,-0.303833,-0.042749,-0.241929,0.141931,0.385394,0.628684,1.323151,0.204462,0.459866,0.714849,0.319178,0
-0.844187,-1.305543,-1.193587,-1.313523,-1.222098,-1.01958,-1.345052,-1.234491,-1.221406,-1.194222,-0.844187,-1.537731,-1.271185,-1.626404,-1.37221,-1.09459,-1.457236,-1.345153,-1.352831,-1.25425,-0.844187,-1.273674,-0.783978,-1.284902,-1.199669,-1.261629,-1.312904,-1.188413,-1.23923,-0.82169,-0.844187,-0.96671,-0.687424,-0.905304,-0.651609,-0.555205,-0.959527,-0.657929,-0.665051,-0.683792,0
-1.144111,-1.339603,-0.565131,-1.235324,-0.709252,-0.534153,-1.270146,-0.759413,-0.696053,-0.554562,-1.144111,-1.562052,-0.920803,-1.568835,-1.044245,-0.539968,-1.380509,-1.062466,-0.945216,-0.852338,-1.144111,-1.260159,-0.653284,-1.122397,-0.904164,-0.899715,-1.273394,-0.975836,-1.021446,-0.76347,-1.144111,-1.136002,-0.239451,-0.974696,-0.276889,0.184398,-1.05094,-0.416372,-0.272921,-0.259956,0
0.242425,-0.22048,-0.073851,-0.279564,-0.213359,-0.327397,0.227975,0.131924,-0.090201,0.097341,0.242425,-0.696201,-0.306148,-0.446244,-0.321698,0.367595,-0.5314,-0.514222,-0.378098,-0.338463,0.242425,-0.52582,-0.540826,-0.59709,-0.793842,-0.792334,-0.448063,-0.661059,-0.68883,-0.368182,0.242425,-0.003862,0.169172,-0.044839,0.207125,0.372234,-0.33792,-0.046931,-0.069411,-0.046421,0
0.193257,-0.400513,-0.622554,-0.618424,-0.611769,-0.673489,-0.411223,-0.429121,-0.619792,-0.618834,0.193257,-0.613507,-0.748581,-0.467833,-0.665036,-0.432825,-0.649048,-0.762645,-0.807867,-0.892529,0.193257,-0.255511,-0.404053,-0.374118,-0.474697,-0.509961,-0.307582,-0.419865,-0.482925,-0.371246,0.193257,-0.231348,-0.076002,-0.079535,-0.058302,0.202008,-0.276979,-0.279016,-0.327522,-0.37643,0
-0.765518,-0.809236,-0.268449,-0.774821,-0.374418,-0.403807,-0.845678,-0.406498,-0.382535,-0.27911,-0.765518,-1.406394,-0.962373,-1.489678,-1.136486,-0.779464,-1.467466,-1.255207,-1.153454,-1.061906,-0.765518,-0.746572,-0.46788,-0.634882,-0.482577,-0.279291,-0.781708,-0.509802,-0.372053,-0.398824,-0.765518,-0.289542,0.438561,0.073128,0.633889,1.088357,-0.081965,0.474075,0.575866,0.516537,0
-0.421342,-0.765445,-0.373723,-0.792199,-0.552431,-0.709446,-0.730822,-0.578431,-0.768077,-0.410715,-0.421342,-1.090212,-0.715918,-0.935579,-0.654787,-0.24375,-0.976415,-0.814043,-0.790145,-0.734635,-0.421342,-0.579882,-0.391895,-0.566856,-0.458937,-0.442351,-0.592935,-0.395337,-0.395811,-0.291576,-0.421342,-0.294832,0.105609,-0.197502,0.15508,0.219617,-0.392768,-0.046931,-0.094229,-0.175836,0
0.473514,-0.093971,-0.625744,-0.40555,-0.522762,-0.637531,-0.231449,-0.429121,-0.746893,-0.796347,0.473514,-0.613507,-0.727795,-0.381479,-0.670161,-0.350892,-0.628587,-0.814043,-0.878757,-0.929849,0.473514,-0.178924,-0.72623,-0.249404,-0.6717,-0.597457,-0.096859,-0.509802,-0.573999,-0.582679,0.473514,0.234205,-0.181941,0.503361,0.165489,0.254836,0.40557,0.18989,0.203591,-0.03995,0
