NSC	pGI50_OVCAR-8	pGI50_A549/ATCC	pGI50_SW-620	pGI50_SN12C	pGI50_HT29	pGI50_IGR-OV1	pGI50_SF-295	pGI50_U251	pGI50_NCI-H23	pGI50_MOLT-4	pGI50_HCT-116	pGI50_COLO_205	pGI50_KM12	pGI50_UACC-257	pGI50_SF-268	pGI50_UO-31	pGI50_SK-MEL-28	pGI50_SNB-19	pGI50_HCT-15	pGI50_K-562	pGI50_ACHN	pGI50_UACC-62	pGI50_SK-MEL-5	pGI50_M14	pGI50_EKVX	pGI50_CCRF-CEM	pGI50_786-0	pGI50_OVCAR-3	pGI50_TK-10	pGI50_OVCAR-5	pGI50_NCI-H460	pGI50_HOP-62	pGI50_SF-539	pGI50_NCI-H322M	pGI50_SNB-75	pGI50_OVCAR-4
89	4.437	4.186	4.774	4.232	4.321	4.233	4	4.249	4.209	4.667	4.547	4.539	4.488	4.422	4.233	4.245	4.387	4	4.618	4.559	4.24	4.25	4.367	4.489	4.255	4.631	4.7	4.37	4.248	4.36	4.233	4	4.236	4	4.226	4.331
185	7.357	7.437	7.335	7.702	7.144	7.274	6.847	7.22	7.287	7.754	7.132	7.453	7.695	7.04	7.359	7.542	7.453	7.007	7.364	7.277	7.536	6.929	7.606	7.274	7.03	7.731	7.429	6.884	7.063	6.851	6.913	7.225	7.365	7.314	7.081	7.436
291	4.411	4	4	4.178	4	4.256	4.161	4.455	4	4.549	4	4	4.458	4.586	4.839	4	4.076	4.176	4	4	4	4	4.419	4.571	4	4.677	4.35	4.619	4.203	4	4.338	4.536	4.675	4	4.323	4.063
295	4.761	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5.47	4	4	4	4	4	4	4	4	4
531	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4.109	4
740	7.525	7.473	7.48	7.492	7.484	7.156	7.427	7.132	7.369	7.527	7.509	5.979	7.326	6.09	7.289	6.751	5.415	6.33	7.476	7.548	7.419	7.548	7.024	7.47	5.011	7.542	7.462	6.338	4.288	5.969	7.564	7.367	7.446	6.343	4.658	4.296
749	6.259	4.482	6.514	6.476	4.583	4.195	5.507	5.759	4.6	6.565	6.055	4.876	4.467	6.134	6.391	6.437	6.138	4.37	4.62	6.572	4.787	6.43	6.126	6.535	4.945	6.616	6.534	4.795	6.389	4.659	4.945	6.487	6.443	4.679	5.813	4.89
757	6.633	7.204	7.204	7.204	7.204	7.204	7.204	7.204	7.204	7.204	7.204	7.204	7.204	6.467	7.204	6.012	5.8	7.204	7.056	7.204	6.701	7.204	7.204	7.763	4.965	7.204	7.489	7.204	4.626	3.312	6.537	6.491	7.204	7.204	5.871	7.204
844	2.981	3.014	3.048	3.049	3.035	3.003	3.034	3.104	3.03	2.944	3.035	2.997	2.99	3.033	3.025	3.034	3.022	3.043	3.05	3.09	3.06	3.077	3.071	3.049	2.987	3.083	3.035	3.05	2.998	3.014	3.014	3.054	3.046	3.014	3.063	3.016
1620	4	4	4	4	4	4	4	4	4.099	4	4	4	4	4	4	4.153	4	4	4	4.238	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4.415	4
1848	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
1865	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
1970	4	4	4	4	4	4	4	4	4	4.056	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4.097	4
2154	4	4	4	4	4	4	4	4	4	4.07	4	4	4	4	4	4	4	4	4	4.26	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
2360	4	4	4	4	4	4.72	4	4	4	4	4	4	4.197	4.581	4	4	4	4	4	4	4	4.018	4	4	4	4	4	4	4	4	4	4	4	4	4.82	4
2384	5.083	4.707	5.585	4.792	5.231	4.886	4.982	5.235	4.84	5.403	5.767	4.746	5.598	4.77	4.959	4.739	4.78	4.836	5.093	5.446	4.803	4.878	4.878	5.191	4.737	5.385	4.894	4.983	4.749	4.761	4.827	4.664	4.78	4.75	4.694	4.828
2626	4.554	4.565	4.29	4.649	4.492	4.504	4.323	4.249	4	5.234	4.681	4	4.689	4	4.558	5.048	4.359	4.241	4.685	4	4.335	4.607	4.227	4.681	4.558	4	4.383	4.59	4	4.302	4.521	4.471	4.962	4.266	4.395	4
3053	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	7.861	8	8	7.912	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
3061	5.237	5.833	5.251	5.477	5.372	5.006	5.353	5.011	5.237	5.315	5.212	4.724	4.934	4.904	5.01	4.786	4.176	4.483	5.404	6.266	5.292	5.326	5.606	5.243	5.122	5.478	5.338	4.495	4.664	4.222	5.554	4.873	4.684	4	4.348	4.381
3364	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
3578	5.143	5.016	5.127	5.044	4.85	5.216	5.102	5.225	5.089	5.477	5.417	4.683	5.25	4.9	5.158	4.986	4.93	5.24	5.379	5.512	5.053	5.088	5.441	4.967	4.972	5.213	5.199	4.845	4.825	4.688	5.277	4.934	4.952	4.826	4.552	5.009
3905	6.344	6.416	5.975	6.2	6.301	6.319	6.541	6.261	6.123	6.511	6.464	6.596	6.295	6.372	6.305	6.705	6.151	6.029	6.39	6.462	6.414	6.133	6.609	6.786	6.322	6.603	6.434	6.501	6.072	6.122	6.418	6.284	6.292	6.332	5.805	6.253
4170	4.997	4.734	5.669	4.907	4.747	4.803	4.783	4.872	5.151	5.752	5.699	4.751	4.97	5.38	5.124	5.576	5.306	4.747	5.466	5.624	5.474	5.331	5.661	5.247	4.765	5.693	4.835	4.956	4.701	4.928	4.94	4.794	5.442	4.814	4.99	5.412
4239	5.814	5.413	5.613	5.464	5.69	5.287	5.416	5.56	5.676	5.469	5.8	5.867	5.601	5.92	5.215	4.623	5.274	5.63	4.524	6.379	5.192	5.504	5.659	5.463	4.46	5.722	5.37	5.753	5.431	5.192	5.537	5.334	5.255	5.402	5.462	5.297
