smiles	nsc	level1	level2	level3	level4	level5	level6
CN(C)CCC(=O)c1ccccc1	89	c1ccccc1	c1ccccc1	c1ccccc1	c1ccccc1	c1ccccc1	c1ccccc1
CC2CC(C)C(=O)C(C(O)CC1CC(=O)NC(=O)C1)C2	185	O=C1CCCC(=O)N1	O=C2CC(CCC1CCCCC1=O)CC(=O)N2	O=C2CC(CCC1CCCCC1=O)CC(=O)N2	O=C2CC(CCC1CCCCC1=O)CC(=O)N2	O=C2CC(CCC1CCCCC1=O)CC(=O)N2	O=C2CC(CCC1CCCCC1=O)CC(=O)N2
O=c2oc(c1ccccc1)nc2=Cc3ccccc3	291	C=c1ncoc1=O	C=c2nc(c1ccccc1)oc2=O	O=c2oc(c1ccccc1)nc2=Cc3ccccc3	O=c2oc(c1ccccc1)nc2=Cc3ccccc3	O=c2oc(c1ccccc1)nc2=Cc3ccccc3	O=c2oc(c1ccccc1)nc2=Cc3ccccc3
OC(=O)CCCc1ccccc1	295	c1ccccc1	c1ccccc1	c1ccccc1	c1ccccc1	c1ccccc1	c1ccccc1
OC(=O)COc1ccccc1C(=O)Nc2ccccc2	531	c1ccccc1	O=C(Nc1ccccc1)c2ccccc2	O=C(Nc1ccccc1)c2ccccc2	O=C(Nc1ccccc1)c2ccccc2	O=C(Nc1ccccc1)c2ccccc2	O=C(Nc1ccccc1)c2ccccc2
CN(Cc2cnc1nc(N)nc(N)c1n2)c3ccc(C(=O)NC(CCC(O)=O)C(O)=O)cc3	740	c1cnccn1	c2cnc1ncncc1n2	C(Nc1ccccc1)c3cnc2ncncc2n3	C(Nc1ccccc1)c3cnc2ncncc2n3	C(Nc1ccccc1)c3cnc2ncncc2n3	C(Nc1ccccc1)c3cnc2ncncc2n3
Nc2nc(O)c1nn[nH]c1n2	749	c1c[nH]nn1	c2ncc1nn[nH]c1n2	c2ncc1nn[nH]c1n2	c2ncc1nn[nH]c1n2	c2ncc1nn[nH]c1n2	c2ncc1nn[nH]c1n2
COc3cc2CCC(NC(C)=O)c1cc(=O)c(OC)ccc1c2c(OC)c3OC	757	O=c1cccccc1	O=c2cccc1C=CCCCc1c2	O=c3cccc2c(CCCc1ccccc12)c3	O=c3cccc2c(CCCc1ccccc12)c3	O=c3cccc2c(CCCc1ccccc12)c3	O=c3cccc2c(CCCc1ccccc12)c3
CC(=C)C1CCC(C)=CC1	844	C1CCC=CC1	C1CCC=CC1	C1CCC=CC1	C1CCC=CC1	C1CCC=CC1	C1CCC=CC1
C(Nc1ncnc2[nH]ncc12)c3ccco3	1620	c1cncnc1	c2ncc1cn[nH]c1n2	C(Nc1ncnc2[nH]ncc12)c3ccco3	C(Nc1ncnc2[nH]ncc12)c3ccco3	C(Nc1ncnc2[nH]ncc12)c3ccco3	C(Nc1ncnc2[nH]ncc12)c3ccco3
