cv1,cv2,cv3,cv4,cv5
204,100,57,123,340
216,271,83,228,310
279,330,97,229,70
428,234,259,2,395
269,157,9,383,375
388,62,355,232,147
293,413,257,276,84
398,318,346,0,432
93,248,342,169,42
270,90,230,15,174
98,132,356,415,381
290,168,339,158,369
153,67,324,301,371
79,106,246,287,35
419,422,192,4,124
49,167,140,297,251
224,143,8,323,370
325,185,75,148,16
394,10,401,171,361
195,116,434,186,210
255,6,99,328,408
282,242,109,241,59
392,402,405,198,397
151,431,137,134,256
384,414,331,430,338
18,5,247,403,209
412,231,30,188,347
206,306,19,81,374
128,96,399,54,312
200,362,172,411,58
418,152,278,176,76
345,20,196,110,194
38,102,391,189,238
316,285,154,367,146
203,305,61,321,68
135,72,348,308,404
218,336,357,125,333
233,407,178,92,65
103,315,32,380,349
22,29,359,24,263
39,220,131,69,87
46,291,60,111,352
341,197,416,240,199
144,424,260,223,7
163,149,13,36,78
225,77,120,298,170
274,80,17,190,309
300,239,327,114,236
12,314,262,34,56
273,14,277,213,64
40,107,183,160,127
181,85,420,283,23
326,208,150,179,261
365,91,317,410,63
180,122,334,427,280
368,52,44,156,31
219,71,95,387,126
319,288,88,136,43
159,320,184,358,86
243,344,142,307,161
294,272,129,41,304
202,250,115,390,379
201,227,376,332,382
193,117,118,296,245
258,417,165,45,145
50,48,350,187,254
366,252,429,302,25
329,47,377,322,423
51,237,249,112,289
393,217,354,21,268
119,303,400,409,244
89,275,53,82,173
133,373,421,311,363
94,286,364,426,74
155,175,207,141,222
113,104,166,215,281
284,226,264,335,66
214,343,433,3,1
37,205,121,425,11
396,265,27,292,299
372,313,162,235,26
101,139,211,385,267
182,105,386,108,191
378,73,164,253,138
177,360,353,295,389
212,33,221,55,130
337,28,266,351,406
100,57,123,340,204
271,83,228,310,216
330,97,229,70,279
234,259,2,395,428
157,9,383,375,269
62,355,232,147,388
413,257,276,84,293
318,346,0,432,398
248,342,169,42,93
90,230,15,174,270
132,356,415,381,98
168,339,158,369,290
67,324,301,371,153
106,246,287,35,79
422,192,4,124,419
167,140,297,251,49
143,8,323,370,224
185,75,148,16,325
10,401,171,361,394
116,434,186,210,195
6,99,328,408,255
242,109,241,59,282
402,405,198,397,392
431,137,134,256,151
414,331,430,338,384
5,247,403,209,18
231,30,188,347,412
306,19,81,374,206
96,399,54,312,128
362,172,411,58,200
152,278,176,76,418
20,196,110,194,345
102,391,189,238,38
285,154,367,146,316
305,61,321,68,203
72,348,308,404,135
336,357,125,333,218
407,178,92,65,233
315,32,380,349,103
29,359,24,263,22
220,131,69,87,39
291,60,111,352,46
197,416,240,199,341
424,260,223,7,144
149,13,36,78,163
77,120,298,170,225
80,17,190,309,274
239,327,114,236,300
314,262,34,56,12
14,277,213,64,273
107,183,160,127,40
85,420,283,23,181
208,150,179,261,326
91,317,410,63,365
122,334,427,280,180
52,44,156,31,368
71,95,387,126,219
288,88,136,43,319
320,184,358,86,159
344,142,307,161,243
272,129,41,304,294
250,115,390,379,202
227,376,332,382,201
117,118,296,245,193
417,165,45,145,258
48,350,187,254,50
252,429,302,25,366
47,377,322,423,329
237,249,112,289,51
217,354,21,268,393
303,400,409,244,119
275,53,82,173,89
373,421,311,363,133
286,364,426,74,94
175,207,141,222,155
104,166,215,281,113
226,264,335,66,284
343,433,3,1,214
205,121,425,11,37
265,27,292,299,396
313,162,235,26,372
139,211,385,267,101
105,386,108,191,182
73,164,253,138,378
360,353,295,389,177
33,221,55,130,212
28,266,351,406,337
57,123,340,204,100
83,228,310,216,271
97,229,70,279,330
259,2,395,428,234
9,383,375,269,157
355,232,147,388,62
257,276,84,293,413
346,0,432,398,318
342,169,42,93,248
230,15,174,270,90
356,415,381,98,132
339,158,369,290,168
324,301,371,153,67
246,287,35,79,106
192,4,124,419,422
140,297,251,49,167
8,323,370,224,143
75,148,16,325,185
401,171,361,394,10
434,186,210,195,116
99,328,408,255,6
109,241,59,282,242
405,198,397,392,402
137,134,256,151,431
331,430,338,384,414
247,403,209,18,5
30,188,347,412,231
19,81,374,206,306
399,54,312,128,96
172,411,58,200,362
278,176,76,418,152
196,110,194,345,20
391,189,238,38,102
154,367,146,316,285
61,321,68,203,305
348,308,404,135,72
357,125,333,218,336
178,92,65,233,407
32,380,349,103,315
359,24,263,22,29
131,69,87,39,220
60,111,352,46,291
416,240,199,341,197
260,223,7,144,424
13,36,78,163,149
120,298,170,225,77
17,190,309,274,80
327,114,236,300,239
262,34,56,12,314
277,213,64,273,14
183,160,127,40,107
420,283,23,181,85
150,179,261,326,208
317,410,63,365,91
334,427,280,180,122
44,156,31,368,52
95,387,126,219,71
88,136,43,319,288
184,358,86,159,320
142,307,161,243,344
129,41,304,294,272
115,390,379,202,250
376,332,382,201,227
118,296,245,193,117
165,45,145,258,417
350,187,254,50,48
429,302,25,366,252
377,322,423,329,47
249,112,289,51,237
354,21,268,393,217
400,409,244,119,303
53,82,173,89,275
421,311,363,133,373
364,426,74,94,286
207,141,222,155,175
166,215,281,113,104
264,335,66,284,226
433,3,1,214,343
121,425,11,37,205
27,292,299,396,265
162,235,26,372,313
211,385,267,101,139
386,108,191,182,105
164,253,138,378,73
353,295,389,177,360
221,55,130,212,33
266,351,406,337,28
123,340,204,100,57
228,310,216,271,83
229,70,279,330,97
2,395,428,234,259
383,375,269,157,9
232,147,388,62,355
276,84,293,413,257
0,432,398,318,346
169,42,93,248,342
15,174,270,90,230
415,381,98,132,356
158,369,290,168,339
301,371,153,67,324
287,35,79,106,246
4,124,419,422,192
297,251,49,167,140
323,370,224,143,8
148,16,325,185,75
171,361,394,10,401
186,210,195,116,434
328,408,255,6,99
241,59,282,242,109
198,397,392,402,405
134,256,151,431,137
430,338,384,414,331
403,209,18,5,247
188,347,412,231,30
81,374,206,306,19
54,312,128,96,399
411,58,200,362,172
176,76,418,152,278
110,194,345,20,196
189,238,38,102,391
367,146,316,285,154
321,68,203,305,61
308,404,135,72,348
125,333,218,336,357
92,65,233,407,178
380,349,103,315,32
24,263,22,29,359
69,87,39,220,131
111,352,46,291,60
240,199,341,197,416
223,7,144,424,260
36,78,163,149,13
298,170,225,77,120
190,309,274,80,17
114,236,300,239,327
34,56,12,314,262
213,64,273,14,277
160,127,40,107,183
283,23,181,85,420
179,261,326,208,150
410,63,365,91,317
427,280,180,122,334
156,31,368,52,44
387,126,219,71,95
136,43,319,288,88
358,86,159,320,184
307,161,243,344,142
41,304,294,272,129
390,379,202,250,115
332,382,201,227,376
296,245,193,117,118
45,145,258,417,165
187,254,50,48,350
302,25,366,252,429
322,423,329,47,377
112,289,51,237,249
21,268,393,217,354
409,244,119,303,400
82,173,89,275,53
311,363,133,373,421
426,74,94,286,364
141,222,155,175,207
215,281,113,104,166
335,66,284,226,264
3,1,214,343,433
425,11,37,205,121
292,299,396,265,27
235,26,372,313,162
385,267,101,139,211
108,191,182,105,386
253,138,378,73,164
295,389,177,360,353
55,130,212,33,221
351,406,337,28,266
