cv1,cv2,cv3,cv4,cv5
0,0,0,0,2
1,1,1,1,3
3,2,2,2,4
4,3,4,3,5
6,5,5,4,6
7,6,8,5,7
8,7,11,6,9
9,8,14,7,10
10,9,15,8,11
11,10,16,9,12
12,12,19,10,13
13,13,20,11,14
14,14,21,12,16
15,15,22,13,17
16,16,23,15,18
17,17,25,17,19
18,18,26,18,20
19,19,27,20,21
20,21,28,22,22
21,24,29,23,23
22,25,30,24,24
23,26,31,25,25
24,27,33,26,26
27,29,34,27,28
28,30,36,28,30
29,32,37,29,31
30,33,38,31,32
31,35,42,32,33
32,36,43,34,34
33,37,44,35,35
34,38,45,38,36
35,39,46,39,37
36,40,47,40,39
37,41,48,41,40
38,42,50,43,41
39,43,51,45,42
40,44,52,46,44
41,45,53,47,45
42,46,54,48,46
43,47,55,49,47
44,48,57,50,48
49,49,58,51,49
51,50,59,53,50
52,51,61,56,52
53,52,62,57,53
54,54,63,58,54
55,55,65,59,55
56,56,66,60,56
57,57,67,62,58
58,59,69,63,59
60,60,70,64,60
61,61,71,65,61
62,62,72,66,63
64,63,75,67,64
65,64,77,68,66
68,65,79,69,67
69,66,80,70,68
70,67,82,71,69
71,68,84,72,71
73,70,85,73,72
74,72,86,74,73
76,73,87,75,74
78,74,88,76,75
80,75,89,77,76
81,76,90,78,77
82,77,91,79,78
83,78,92,81,79
84,79,93,83,80
86,80,94,85,81
87,81,95,87,82
89,82,96,88,83
90,83,97,89,84
91,84,98,92,85
92,85,99,93,86
93,86,100,94,88
94,87,102,95,89
95,88,103,96,90
97,90,104,97,91
98,91,105,99,93
99,92,106,100,94
100,96,107,101,95
101,97,108,102,96
103,98,109,104,98
105,99,110,106,101
106,100,111,107,102
108,101,112,108,103
110,102,113,109,104
111,103,115,110,105
113,104,116,111,106
114,105,117,112,107
115,107,118,113,109
119,108,121,114,112
120,109,122,115,113
121,110,124,116,114
122,111,125,117,115
123,112,126,118,116
125,114,127,119,117
126,116,129,120,118
127,117,130,121,119
128,118,131,122,120
129,119,132,123,121
130,120,133,124,123
132,122,134,125,124
133,123,135,126,125
134,124,136,127,126
136,127,138,128,128
137,128,141,129,130
139,129,142,130,131
140,131,144,131,135
141,132,145,132,136
142,133,146,133,137
143,134,148,134,138
144,135,149,135,139
145,137,151,136,140
146,138,153,137,142
147,139,155,138,143
148,140,156,139,144
149,141,157,140,146
150,142,158,141,147
151,143,161,143,148
152,144,163,145,150
153,145,164,147,151
154,146,165,149,152
155,147,166,150,153
156,148,167,152,154
157,149,168,153,155
158,150,169,154,156
159,151,170,156,157
160,152,171,159,158
162,154,172,160,159
163,155,173,161,160
164,157,175,162,161
166,158,176,163,162
167,159,177,164,164
168,160,178,165,165
170,161,179,166,166
171,162,180,167,168
172,163,182,168,169
173,165,183,169,170
174,167,185,173,171
176,169,187,174,172
177,170,190,175,173
178,171,192,176,174
180,172,193,179,175
181,174,194,180,176
182,175,196,181,177
183,177,198,183,178
184,178,200,184,179
185,179,201,185,181
186,180,202,186,182
187,181,203,187,183
188,182,204,188,184
189,184,205,189,185
191,186,206,190,186
192,188,207,191,187
193,189,209,192,188
194,190,210,193,189
195,191,212,194,190
197,192,214,195,191
198,194,215,196,193
199,195,217,197,195
201,196,218,199,196
202,197,219,200,197
203,198,220,201,198
204,199,221,202,199
205,200,222,203,200
207,201,223,204,203
208,202,224,206,205
210,204,225,207,206
211,205,226,208,208
212,206,227,209,209
213,207,228,210,210
214,208,229,211,211
215,209,231,212,212
216,211,233,213,213
217,213,234,214,215
219,214,235,216,216
220,215,237,217,218
221,216,238,218,219
222,217,239,220,221
223,218,240,221,222
224,219,241,222,224
225,220,242,223,225
226,223,243,228,226
227,224,244,229,227
228,225,245,230,230
229,226,247,231,231
230,227,248,232,232
232,228,249,233,234
233,229,252,235,236
234,230,253,236,237
235,231,254,238,238
236,232,255,239,239
237,233,256,241,240
239,234,257,242,244
240,235,258,243,245
241,236,260,244,246
242,237,262,245,247
243,238,263,246,248
245,240,264,247,249
246,241,265,249,250
248,242,266,250,251
249,243,267,251,252
250,244,268,252,253
251,246,269,254,254
253,247,270,256,255
255,248,271,257,256
257,250,272,258,257
258,251,273,259,258
259,252,274,260,259
261,253,275,261,260
262,254,276,262,261
263,255,278,263,265
264,256,279,264,267
265,259,280,266,268
266,260,281,267,269
268,261,282,268,270
269,262,283,272,271
270,263,284,273,272
271,264,285,274,273
277,265,286,275,274
278,266,287,276,275
279,267,288,277,276
280,269,289,280,277
281,270,290,281,278
283,271,291,282,279
285,272,292,284,280
286,273,294,285,282
287,274,295,286,283
288,275,296,288,284
289,276,297,289,285
290,277,298,290,286
291,278,299,291,287
292,279,300,292,290
293,281,301,293,291
294,282,302,294,292
297,283,303,295,293
298,284,304,296,295
299,287,305,297,296
300,288,306,298,297
301,289,307,300,298
302,293,308,301,299
303,294,309,302,301
304,295,310,303,305
305,296,312,304,306
307,299,313,306,307
308,300,314,308,310
309,302,315,309,311
310,303,316,311,313
311,304,317,312,315
312,305,319,314,316
313,306,320,316,317
314,307,321,317,318
315,308,322,318,319
318,309,324,319,320
320,310,325,320,321
322,311,326,321,322
323,312,327,322,323
324,313,328,323,326
325,314,329,324,328
327,315,331,325,329
329,316,332,326,330
330,317,334,327,332
331,318,335,328,333
332,319,336,330,335
333,321,337,331,337
334,323,339,333,338
336,324,341,334,339
338,325,342,335,340
339,326,344,336,341
340,327,345,337,342
341,328,347,338,343
343,329,350,339,344
345,330,351,340,345
346,331,352,342,346
348,332,354,343,347
349,333,355,344,348
350,334,356,346,349
351,335,357,347,350
353,336,359,348,351
354,337,360,349,352
355,338,361,350,353
356,340,362,352,354
358,341,364,353,355
359,342,365,354,357
360,343,367,355,358
362,344,368,356,359
363,345,369,357,360
364,346,370,358,361
365,347,371,360,362
366,348,372,361,363
367,349,373,363,364
368,351,374,364,365
370,352,375,365,366
371,353,377,366,369
372,356,378,367,370
373,357,379,368,371
374,358,380,369,372
375,359,381,370,373
376,361,384,372,374
377,362,385,375,376
378,363,386,376,377
380,366,387,379,378
381,367,388,381,379
382,368,389,382,380
383,369,390,383,381
384,371,391,386,382
385,373,394,387,383
389,374,395,388,384
390,375,396,391,385
391,376,397,392,386
392,377,398,393,387
393,378,399,394,388
396,379,400,395,389
397,380,401,396,390
398,382,402,397,391
399,383,403,399,392
401,384,404,400,393
402,385,406,401,394
404,386,407,402,395
405,387,410,403,397
406,388,411,404,398
407,389,412,405,400
408,390,414,406,402
409,392,416,408,403
410,393,417,409,404
413,394,418,410,405
414,395,419,411,406
415,396,420,412,407
416,398,422,413,408
417,399,423,414,409
418,400,424,415,410
419,401,425,416,411
420,403,426,417,412
421,405,427,418,413
422,407,428,421,414
423,408,429,422,415
424,409,430,423,416
425,411,431,424,417
426,412,432,425,419
427,413,433,427,420
428,415,434,429,421
429,418,435,430,423
430,419,436,431,425
431,420,437,432,426
432,421,438,434,428
433,422,439,437,430
435,424,440,439,432
436,426,441,440,433
438,427,442,441,434
440,428,443,443,435
442,429,444,445,436
443,431,445,446,437
444,433,446,447,438
445,434,447,448,439
446,435,448,449,440
447,436,449,450,441
448,437,450,452,442
449,438,451,453,443
450,439,452,454,444
451,441,453,456,445
452,442,454,457,446
453,444,455,458,447
454,451,458,459,448
455,452,459,460,449
456,455,460,461,450
457,456,461,462,451
458,457,463,464,453
460,459,464,465,454
462,460,465,466,455
463,461,468,467,456
465,462,469,468,457
466,463,470,469,458
467,464,471,470,459
468,466,472,471,461
469,467,473,472,462
470,468,474,473,463
471,471,475,474,464
472,472,476,475,465
473,473,477,476,466
474,474,478,477,467
475,475,479,478,469
477,476,480,479,470
479,478,481,480,476
480,480,482,482,477
481,481,483,484,478
482,482,484,486,479
483,483,485,487,481
484,485,486,488,483
485,487,487,489,484
486,488,488,490,485
489,490,489,491,486
491,492,490,492,487
492,493,491,493,488
493,495,492,494,489
494,496,493,495,490
496,497,494,496,491
498,499,495,497,494
499,500,496,498,495
501,501,497,500,497
503,502,498,501,498
504,503,499,502,499
505,504,500,504,500
506,506,501,505,502
507,508,502,506,503
508,509,503,507,505
509,510,504,510,507
511,511,505,511,508
512,512,506,513,509
513,513,507,516,510
514,514,508,517,511
515,515,509,518,512
517,516,510,519,513
518,518,512,520,514
520,519,514,521,515
522,520,515,522,516
523,521,516,523,517
524,522,517,524,519
525,523,518,525,520
528,524,519,526,521
529,525,521,527,522
530,526,523,528,524
531,527,526,529,525
532,528,527,530,526
533,530,528,531,527
534,531,529,533,529
535,532,530,534,531
536,534,532,535,532
537,535,533,536,533
538,537,534,538,536
539,538,535,539,537
540,539,536,541,540
542,540,537,542,541
543,541,538,543,543
544,542,539,545,544
545,543,540,546,545
546,544,541,548,546
547,547,542,549,547
548,548,544,550,548
549,549,545,551,550
551,550,546,552,551
552,551,547,553,553
553,552,549,554,554
554,553,550,555,555
555,554,552,556,556
556,555,556,557,557
558,557,557,558,558
559,558,559,559,559
