cv1,cv2,cv3,cv4,cv5
7236,3168,2566,6487,4805
1042,6217,4820,7098,450
5216,3171,3501,5972,6465
5206,5584,2042,5469,6570
3833,5035,4637,1908,1783
1773,1893,3114,2274,4164
6968,264,4824,7288,342
6766,625,2794,6760,5001
5886,5434,3809,403,6252
2590,5859,7446,6260,675
4562,7357,2348,348,1526
3710,5818,3076,1517,3515
1430,836,5060,308,469
76,1832,3627,1999,3071
7130,2723,6524,6551,991
1031,200,2208,2047,3185
1323,6765,3295,1887,5951
2409,2364,3166,1330,5121
3763,1187,5685,6117,1482
5680,481,2263,866,1673
4369,6998,2822,4108,1843
5374,6195,7198,4379,2758
4118,633,5978,6460,2100
3043,5329,2625,4246,687
4571,4541,5083,6291,2317
1575,3583,4091,2305,7108
6946,7331,3079,6471,897
2261,579,5654,2581,4178
3864,1470,2357,4326,1855
4146,4015,4774,1604,5420
7407,3245,8,1225,5371
5212,1378,3200,426,4124
842,3051,1337,3837,2459
6189,6162,6778,2997,473
4847,3705,4488,3499,5284
847,3405,2902,7228,7260
1667,6036,4930,3817,1595
4363,3661,2719,1885,1900
6800,4439,7253,2735,6430
1662,1560,2535,4918,2080
3956,544,5462,4223,1666
7004,7380,5542,4176,3432
6673,2987,4067,7276,6977
3011,7284,6635,7404,742
1277,1544,6276,5500,1925
3576,357,4718,7132,5804
5970,5666,5892,1396,1205
1582,1120,4122,1878,1765
982,6654,798,1621,5077
5254,2183,401,6649,5622
3791,950,3413,2960,7243
5142,6645,1262,1708,2957
737,7239,3314,4761,2506
6738,2662,1432,6693,7006
7164,5186,5695,4254,5839
1739,6533,1019,6303,3654
5123,4487,3954,1051,5366
1587,5256,4420,6837,4852
6495,5644,1703,4885,2988
2059,5749,493,2711,219
936,587,2112,2669,3329
7368,2418,6396,6017,3822
710,5456,5113,6124,238
2027,5740,5531,3597,2325
4100,4748,4032,236,6490
376,6933,288,4127,2198
4236,3490,5492,6987,1476
4913,5431,939,1564,3323
4034,677,2367,705,1294
5738,6218,5850,5460,884
1198,7452,454,5222,645
5122,4590,6110,6055,5670
7269,2271,3457,5250,2516
2892,12,1996,1916,4280
6734,67,432,3510,1006
4224,5620,4574,2699,2166
5526,6607,6629,5980,3843
1646,3299,2065,3765,5393
3088,3919,5592,5068,4989
4912,3866,3046,194,4553
2559,4449,2607,2382,4751
745,206,2776,5516,6434
4917,3203,4078,4775,6942
5551,4428,6248,5095,6723
5900,2665,2172,5545,4215
3959,5582,1779,3999,6416
6026,3924,6782,6545,2907
5395,4416,1937,6154,819
1601,791,2470,3856,1353
46,4190,6956,7451,996
1046,228,7072,2270,2897
2672,7393,3656,793,6789
7289,4518,1324,3434,5914
6344,5224,3090,5270,7011
2852,3092,5056,6806,5031
3680,277,6808,5744,6147
7428,1341,5318,1803,6729
719,2372,3714,5647,3739
3910,6927,2992,1822,1399
4050,5364,6183,7465,2532
6326,3885,5754,4779,74
1169,4832,5742,959,3775
431,870,2369,3544,5335
3331,6716,7086,4859,3509
6394,5000,2867,5808,1110
3873,7389,5491,3961,5741
3197,1550,353,11,4166
1393,7052,3255,846,1415
4186,2837,6677,2752,4356
6597,1615,160,2175,5149
2033,7415,441,343,3984
758,3401,2721,3897,617
5855,5716,3135,5871,2945
6829,4612,528,5937,6188
4117,7119,7414,4495,2110
391,4597,1505,7324,2012
4538,6492,4602,3528,900
2018,3328,6293,780,1375
2744,1258,1994,7225,1641
6546,5854,6024,2661,4344
4893,2840,6853,4747,199
6811,5359,3279,179,4524
7113,5664,7319,2730,4444
3204,5291,4909,6724,4399
4664,4850,655,2463,7262
2117,6058,555,6023,1413
389,2836,2850,2215,1919
6858,201,6388,7423,4130
3001,933,2769,5722,4840
2227,3466,1104,1011,6389
6922,3867,6583,774,2687
1951,189,3735,4007,6443
45,6047,2562,5922,4339
84,2510,2991,1808,274
2149,6823,5794,5649,920
2877,1423,6203,2093,1190
435,5575,325,2231,2861
6096,3347,7124,5611,4646
7416,2747,7461,817,3419
4183,3521,2773,640,751
5017,4332,5823,73,5651
5214,6963,4354,6015,3603
453,5558,121,7469,225
5034,1589,2412,5878,2279
4843,1354,5253,1507,6001
949,6711,5347,2127,6219
6329,7320,2413,4491,5051
2045,2557,3177,6126,5990
3333,5904,5418,2652,6517
1598,5596,3208,4657,3547
211,5797,3774,1286,590
460,4706,5826,5648,1077
1202,6446,204,6351,3662
1306,5213,3133,3484,3113
3321,5907,1374,5908,1510
2358,5010,4479,4901,3240
1254,5131,1787,3511,4916
620,2761,6184,3915,5791
5288,540,1132,7157,2540
6590,4212,4121,606,2575
7091,7123,935,2865,6669
368,6884,362,4813,1076
1744,2808,3231,6895,5503
92,7215,239,6820,215
6892,1204,6535,2146,4306
4099,1636,5283,4800,4125
937,3070,4204,5883,767
3349,5893,2734,4671,5663
4825,5936,5597,4982,3660
588,3578,3886,2942,7314
2556,6619,1480,4150,4568
1798,1805,6586,3713,3378
6886,6232,6181,6817,6145
3277,7165,4307,1397,6746
4642,6168,6125,7204,4131
5536,3276,6005,7047,815
1800,4031,262,5555,3415
881,3690,7310,5987,2207
6486,5946,2525,5320,5656
5773,6222,3145,2244,2439
3005,3858,7096,5783,5965
2442,7012,4531,4167,1584
7163,4896,5486,1813,3266
5295,1249,2567,4013,5455
6163,5008,7085,7146,3929
5018,770,6042,1547,6267
7322,1858,3,5564,5781
947,1250,1874,3758,6038
4673,6694,3768,6493,7373
7171,2164,693,4945,6311
5876,1218,2141,89,5463
7036,1592,1683,4403,6244
3831,3681,7062,1127,2649
3693,312,5421,2868,7241
