"SMILES","CYP450 modulation"
"CC(=O)[C@H]1[C@@H]2[C@H]3CO[C@H](O3)C(=O)[C@@H]2[C@H]2N1C=CC1=CC=CC=C21","Inhibitor"
"NNC(=O)C1=C[N+](CCC2=CC=CC=C2)=CC=C1","Noninhibitor"
"CN1C=NC(=C1[Se]C1=NC(N)=NC2=C1N=CN2[C@@H]1O[C@@H](CO)[C@H](O)[C@@H]1O)[N+]([O-])=O","Noninhibitor"
"COC1=C(OC)C(OC)=C(CN2CCNCC2)C=C1","Inhibitor"
"CC1=NC=C(N1C[C@H](O)CCl)[N+]([O-])=O","Noninhibitor"
"COC(=O)C1=C(C2=CC(OC)=C(OC)C(OC)=C2)C2=C(C(=O)N1CC1=CC(C)=NC=C1)C(OCC1=NC=CC=N1)=NC=C2","Noninhibitor"
"N[C@@H](CSC1(C2=CC=CC=C2C2=CC=CC=C12)C1=CC=C(Cl)C=C1)C(O)=O","Inhibitor"
"COC1=CC=CC(=C1)C(=O)NCCN1CCN(CC1)C1=CC=C(Cl)C=C1","Inhibitor"
"CC1=C(C(C)=NO1)C1=NC2=CC=CC=C2C(=N1)N1CCOCC1","Inhibitor"
"COCCNC1=NC(=NC2=CC=CC=C12)C1=COC=C1","Inhibitor"
"COC(=O)[C@@]1(CC2=CC=CC=C2)[C@@H]2[C@H](CN1C(=O)C1=CC=CC=C1)CC1=C2C=C(N1)C(=O)N(C)C","Inhibitor"
"CC(C)(C)C1=CC(=C\C(C#N)=C(\N)S)C=C(C1=O)C(C)(C)C","Inhibitor"
"C[C@@]12CC[C@H]3[C@@H](CC[C@]4(O)C[C@H](O)CC[C@@]34C=O)[C@]1(O)CC[C@@H]2C1=CC(=O)OC1","Noninhibitor"
"CC(C)(CCP(O)(O)=O)C(O)=O","Noninhibitor"
"COC1=CC=C(NC(=O)N2CC3(C2)CCN(CC3)C(C)=O)C=C1","Noninhibitor"
"COC1=CC=C(C=C1)N1C(=O)C(=NC2=CN=C(OC)N=C12)C1=CC=CS1","Inhibitor"
"ClC1=NC=C(C=C1)[C@@H]1C[C@H]2CC[C@@H]1N2","Noninhibitor"
"C(NC1=NC=NC2=C1C=C(C=C2)C1=CN=CC=C1)C1=CN=CC=C1","Inhibitor"
"CS(=O)(=O)NC1=CC=C(CC2=NOC(=N2)C2=CC3=C(NC=C3CCN)C=C2)C=C1","Inhibitor"
"O[C@H]1CC2=C(O)C=C(O)C=C2O[C@@H]1C1=CC(O)=C(O)C=C1","Noninhibitor"
"CN1C(=O)C(CCC2=CC=CC=C2)=NC2=CN=C(NC3=CC=CC=C3)N=C12","Inhibitor"
"CN(C)C1=NC=C2N=C(C)C(=O)N(CC3=CC=C(F)C=C3)C2=N1","Inhibitor"
"CN[C@@H](C)[C@@H](O)C1=CC=CC=C1","Inhibitor"
"CN(C)CCCC1=CNC2=CC=CC=C12","Noninhibitor"
"OP(O)(=O)CNC(=O)C1=CN=CC=C1","Noninhibitor"
"CN1C=CC=C1C(=O)N1CCC2(CCN(CC2)C(=O)NC2=CC(F)=CC=C2)CC1","Noninhibitor"
"O=C(N1CCC2(CCCN(C2)C2=NC=CC=N2)CC1)C1=NC=CN=C1","Noninhibitor"
"NC1=NC2=C(N=CN2C2CCCC2)C(SCC2=CC=CC=N2)=N1","Inhibitor"
"CCCC[C@@H]1C[C@H]1C(NC(=O)C1=CC=CO1)C1=CC=C(C=C1)C1=CC=CC=C1","Inhibitor"
"CN1C(COC(N)=O)=NC=C1[N+]([O-])=O","Noninhibitor"
"CCNC1=NC=C2N=C(CCC3=CC=CC=C3)C(=O)N(CCOC)C2=N1","Inhibitor"
"COCCN1C(=O)C(=NC2=CN=C(N=C12)N1CCNCC1)C1=CC=C(OC)C=C1","Inhibitor"
"CCCCCCCCCCCCCCC[C@@H](O)[C@@H](N)CO","Inhibitor"
"FC1=CC(=CC(F)=C1)C1=NC2=CN=C(N=C2N(C2CC2)C1=O)N1CCOCC1","Inhibitor"
"CNC[C@H](O)C1=CC(OC)=C(O)C=C1","Noninhibitor"
"COC1=CC2=C(C=C1)C(Cl)=CC(NC(=S)NC1=CC=CC=C1)=N2","Inhibitor"
"O=C(N1CCC2(CCCN(C2)C(C2=CC=CC=C2)C2=CC=CC=C2)CC1)C1=NC=CN=C1","Inhibitor"
"COC1=CC2=C(NC=C2CCNC2=NC=NC=C2C2=CC=CC=C2Cl)C=C1","Inhibitor"
"CN(C)C(=O)C1=CC=C(C=C1)C1=NC=CC(NC2=CC=C(F)C=C2)=N1","Inhibitor"
"CCCCN1C=NC2=C1N=CN=C2SC","Inhibitor"
"O=C(N1CCC2(CC1)CCN(CC2)C1=NC=CC=N1)C1=CSN=N1","Noninhibitor"
"O=C(CCN1CCCCC1)N1CCC2=C(NC3=CC=CC=C23)[C@H]1C1=CN=CC=C1","Noninhibitor"
"COC(=O)[C@@H]1C[C@H]1[C@@H](NC(=O)C1=NC=CN=C1)C1=CC=CC=C1","Inhibitor"
"COC1=CC(OC)=C(CNC2=NC(=NC=C2)C2=CC=CC=C2CN(C)C)C=C1","Inhibitor"
"CCCCCCCCCCCCC\C=C/[C@H](O)[C@H](N)CO","Inhibitor"
"FC1=CC=C(C=C1)C(=O)C1CCN(CCN2C(=S)NC3=CC=CC=C3C2=O)CC1","Inhibitor"
"COCCN1C(=O)C(=NC2=CN=C(N=C12)N1CCNCC1)C1=CC=C(Cl)C=C1","Inhibitor"
"C(NC1=NC(=NC2=CC=CC=C12)C1=CN=CC=C1)C1=CN=CC=C1","Inhibitor"
"CN1C=NC(=C1SC1=NC(N)=NC2=C1N=CN2CC1=CC=CC=C1)[N+]([O-])=O","Inhibitor"
"CN(C)C1=NC=C2N=C(C)C(=O)N(C)C2=N1","Inhibitor"
"NC1=CC(Cl)=C(NC2=NCCN2)C(Cl)=C1","Noninhibitor"
"NCCSCCC1=CC=CC=C1","Inhibitor"
"CC1=CC(=O)OC2=C1C=CC(O)=C2","Inhibitor"
"CNC(C)(C)CC1=CC=CC=C1","Noninhibitor"
"C1CN=C(N1)[C@H]1CCCC2=CC=CC=C12","Noninhibitor"
"CC1(C)N=C(N)N=C(N)N1C1=CC=CC(=C1)C(=O)NC1=CC=C(C=C1)S(F)(=O)=O","Noninhibitor"
"CCC(=O)O[C@@H]1[C@H](C)O[C@@H](C[C@]1(C)O)O[C@@H]1[C@H](C)O[C@H](O[C@@H]2[C@@H](CC=O)C[C@@H](C)[C@@H](O)\C=C/C=C\C[C@@H](C)OC(=O)C[C@@H](OC(=O)CC)[C@H]2OC)[C@@H](O)[C@@H]1N(C)C","Noninhibitor"
"CCNC[C@H](O)C1=CC(O)=CC=C1","Noninhibitor"
"OC[C@@H]1O[C@H]([C@H](O)[C@H]1O)N1C=NC2=C(NC3CCCC3)N=CN=C12","Noninhibitor"
"CN(CCCOC1=C(Cl)C=C(Cl)C=C1)CC#C","Inhibitor"
"COC1=CC=CC=C1C1=CN=CN=C1NC1=CC=CC=C1","Inhibitor"
"NC1=C2N=CN([C@H]3O[C@H]4COP(O)(=O)O[C@H]4[C@H]3O)C2=NC=N1","Noninhibitor"
"COC(=O)N1CCC[C@@]2(CCN(C2)C2=CC=CC=C2)C1","Inhibitor"
"C[C@@]12CC[C@@H]3[C@H](CC[C@H]4C[C@@H](O)CC[C@@]34C)[C@@]1(O)CC[C@@H]2C1=CC(=O)OC1","Noninhibitor"
"CC(C)=CCNC1=C2C(=CN([C@H]3O[C@@H](CO)[C@@H](O)[C@@H]3O)C2=NC=N1)C#N","Noninhibitor"
"COC(=O)[C@@]1(CC2=CC=CC=C2)[C@@H]2[C@H](CN1C(=O)C1=CC=CC=C1)CC(=O)[C@H]2CC(=O)C(=O)N(C)C","Noninhibitor"
"CN(C)[C@@H]1[C@@H]2C[C@@H]3CC4=C(C=CC(O)=C4C(O)=C3C(=O)[C@@]2(O)C(=O)\C(=C(\N)O)C1=O)N(C)C","Noninhibitor"
"C[S@@](=N)(=O)CC[C@@H](N)C(O)=O","Noninhibitor"
"COC1=C(O)C=CC(=C1)[C@@H](O)CN","Noninhibitor"
"CC(=O)OCC(=O)[C@]12OC(C)(C)O[C@@H]1C[C@H]1[C@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C","Noninhibitor"
"C[C@H]([C@@H]1C[C@@]1(C)[C@@H](NS(=O)(=O)C1=C(Cl)N(C)N=C1C)C1=CC=CC=C1)C(=O)NC1=CC2=CC=CC=C2C=C1","Inhibitor"
"CC(C)C[C@@H]1N2C(=O)[C@](NC(=O)[C@H]3CN(C)[C@@H]4CC5=C(Br)NC6=CC=CC(=C56)C4=C3)(O[C@@]2(O)[C@H]2CCCN2C1=O)C(C)C","Noninhibitor"
"CC(C)=C[C@H]1[C@@H](C(=O)OCC2=CC3=C(OCO3)C=C2Cl)C1(C)C","Inhibitor"
"C[C@@]12C[C@H](O)[C@@H]3[C@H](CCC4=CC(=O)CC[C@@]34C)[C@H]1CC[C@@H]2C1=CSC(=N1)C1=CC=CC=C1","Inhibitor"
"CN1CCN(CC1)C1=NC(=NC2=CC=CC=C12)C1=CC=CC=C1C","Inhibitor"
"O=S(=O)(N1CCC2(CN(CC3=CC=CC=C3)C2)CC1)C1=CC=CC=C1","Noninhibitor"
"COC(=O)[C@@]1(CC2=CC=C(OC)C=C2)[C@@H]2C(CN1C(=O)C1=CC=CC=C1)=CC(=O)C2=C","Inhibitor"
"ClC1=CC=CC=C1C1=CN=CN=C1NCCC1=CN=CN1","Inhibitor"
"CC1=CC=C(C=C1)S(=O)(=O)NC1=CC=CC=C1C(=O)C1=CC(C)=C(C)C=C1","Inhibitor"
"O=C1N([Se]C2=CC=CC=C12)C1=CC=CC=C1","Inhibitor"
"C[C@]12CC[C@@H]3C(C)(C)CCC[C@]3(C)[C@@H]1CC(=O)O2","Noninhibitor"
"CC(C)[C@@H]1NC(=O)[C@@H](NC(=O)C2=C3N=C4C(OC3=C(C)C=C2)=C(C)C(=O)C(N)=C4C(=O)N[C@H]2[C@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@H]3CCCN3C(=O)[C@@H](NC2=O)C(C)C)[C@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@H]2CCCN2C1=O","Noninhibitor"
"COC1=CN=C(NS(=O)(=O)C2=CC=C(N)C=C2)N=C1","Noninhibitor"
